	gene_human	entrez_id_human	gene_mouse	MGI	MP_HMD	MP_PhenoGeno	HP_genes_to_phenotype	MP_system_level	HP_system_level	MP_from_HP_system_level
11	AADACL4	343066	Aadacl4	MGI:3650257		MP:0009453,MP:0002792,MP:0005634,MP:0020420,MP:0000689,MP:0002591,MP:0003961,MP:0010024,MP:0003917,MP:0002060,MP:0005641,MP:0000709,MP:0000703		['MP:0005387', 'MP:0010771', 'MP:0005386', 'MP:0005391', 'MP:0005378', 'MP:0005375', 'MP:0005385', 'MP:0005376', 'MP:0005379', 'MP:0005397', 'MP:0005367']	['']	[['']]
12	AADACL4	343066	Aadacl4fm1	MGI:2685880				['']	['']	[['']]
13	AADACL4	343066	Aadacl4fm2	MGI:3652194				['']	['']	[['']]
14	AADACL4	343066	AAdacl4fm3	MGI:3650721				['']	['']	[['']]
15	AADACL4	343066	Aadacl4fm4	MGI:2685282				['']	['']	[['']]
16	AADACL4	343066	Aadacl4fm5	MGI:2685284				['']	['']	[['']]
17	AADAT	51166	Aadat	MGI:1345167		MP:0002882,MP:0001525,MP:0002862,MP:0001399,MP:0003153		['MP:0003631', 'MP:0005391', 'MP:0005386']	['']	[['']]
18	AAGAB	79719	Aagab	MGI:1914189		MP:0011100	HP:0025114,HP:0025114,HP:0007530,HP:0002671,HP:0000006,HP:0012189,HP:0012125,HP:0012126,HP:0100526,HP:0040274,HP:0040276,HP:0003584,HP:0008404,HP:0100751,HP:0010622,HP:0025092,HP:0025092,HP:0005584,HP:0003002,HP:0030692,HP:0045059,HP:0000972,HP:0000982,HP:0040162,HP:0040162,HP:0002861,HP:0002860,HP:0011124,HP:0006725,HP:0012500,HP:0012531	[]	['HP:0000079', 'HP:0004377', 'HP:0007379', 'HP:0000707', 'HP:0011024', 'HP:0000924', 'HP:0100013', 'HP:0001732', 'HP:0100606', 'HP:0000078', 'HP:0040064', 'HP:0002086', 'HP:0001574', 'HP:0012531', 'HP:0000769', 'HP:0002664', 'HP:0001871']	[['MP:0005367'], ['MP:0002006'], ['MP:0002006'], ['MP:0003631'], ['MP:0005381'], ['MP:0005390'], ['MP:0002006'], ['MP:0005379'], ['MP:0002006'], ['MP:0005389'], ['MP:0005371'], ['MP:0005388'], ['MP:0010771'], ['MP:0005386'], ['MP:0010771'], ['MP:0002006'], ['MP:0005397']]
19	AAK1	22848	Aak1	MGI:1098687		MP:0001469,MP:0003731,MP:0002941,MP:0003795,MP:0002574,MP:0005179,MP:0004738,MP:0005293,MP:0003921,MP:0011110,MP:0005343,MP:0002764,MP:0002968,MP:0005567,MP:0009141,MP:0001399,MP:0001489,MP:0010053		['MP:0005377', 'MP:0005386', 'MP:0005390', 'MP:0005391', 'MP:0003631', 'MP:0005376', 'MP:0005371', 'MP:0005385']	['']	[['']]
20	AAMDC	28971	Aamdc	MGI:1913523				['']	['']	[['']]
21	AAMP	14	Aamp	MGI:107809		MP:0011100,MP:0013292		[]	['']	[['']]
22	AANAT	15	Aanat	MGI:1328365		MP:0011729,MP:0011728		['MP:0003631', 'MP:0005379']	['']	[['']]
23	AAR2	25980	Aar2	MGI:1915545				['']	['']	[['']]
24	AARD	441376	Aard	MGI:2181621				['']	['']	[['']]
25	AARS1	16	Aars1	MGI:2384560		MP:0000745,MP:0003960,MP:0005608,MP:0001262,MP:0000414,MP:0001544,MP:0000278,MP:0010688,MP:0014316,MP:0004215,MP:0011100,MP:0000432,MP:0031633,MP:0000418,MP:0001265,MP:0004088,MP:0014259,MP:0001393,MP:0003809,MP:0001525,MP:0014343,MP:0011999,MP:0002188,MP:0001511,MP:0003413,MP:0008260,MP:0003393,MP:0031131,MP:0000876,MP:0010025,MP:0003141	HP:0002460,HP:0002451,HP:0008619,HP:0001197,HP:0410219,HP:0007266,HP:0007256,HP:0010871,HP:0009886,HP:0002421,HP:0001298,HP:0001290,HP:0001290,HP:0001276,HP:0001273,HP:0001268,HP:0001268,HP:0002599,HP:0001284,HP:0001284,HP:0001284,HP:0001250,HP:0001251,HP:0001249,HP:0001265,HP:0001265,HP:0001265,HP:0001264,HP:0001260,HP:0001263,HP:0001263,HP:0001263,HP:0001263,HP:0001257,HP:0001257,HP:0001257,HP:0001257,HP:0002562,HP:0100876,HP:0007381,HP:0007340,HP:0001217,HP:0002521,HP:0002509,HP:0001373,HP:0001363,HP:0000028,HP:0007495,HP:0007485,HP:0001332,HP:0001338,HP:0000007,HP:0000007,HP:0001337,HP:0000006,HP:0000006,HP:0001336,HP:0001315,HP:0012196,HP:0012179,HP:0007633,HP:0008936,HP:0008944,HP:0002705,HP:0006297,HP:0007587,HP:0000133,HP:0002750,HP:0002719,HP:0002020,HP:0030903,HP:0002080,HP:0002066,HP:0002063,HP:0002063,HP:0002072,HP:0002059,HP:0002059,HP:0003477,HP:0003487,HP:0002120,HP:0002119,HP:0002133,HP:0003431,HP:0003429,HP:0003438,HP:0002188,HP:0002197,HP:0010551,HP:0003596,HP:0003593,HP:0003593,HP:0003577,HP:0003581,HP:0100710,HP:0002224,HP:0002209,HP:0200134,HP:0002299,HP:0002293,HP:0007034,HP:0007018,HP:0011968,HP:0020045,HP:0008391,HP:0008386,HP:0002376,HP:0002355,HP:0002355,HP:0002352,HP:0002317,HP:0010844,HP:0100660,HP:0009830,HP:0009830,HP:0001097,HP:0002310,HP:0003621,HP:4000007,HP:0000639,HP:0000639,HP:0000639,HP:0000648,HP:0000643,HP:0000613,HP:0000608,HP:0000601,HP:0000601,HP:0001903,HP:0009027,HP:0000656,HP:0000670,HP:0000668,HP:0004322,HP:0004322,HP:0006970,HP:0004305,HP:0003079,HP:0000751,HP:0000750,HP:0000717,HP:0000726,HP:0000708,HP:0011462,HP:0011443,HP:0011448,HP:0012760,HP:0003139,HP:0003202,HP:0045055,HP:0045075,HP:0008003,HP:0100275,HP:0000973,HP:0000992,HP:0000958,HP:0000964,HP:0000964,HP:0000938,HP:0008070,HP:0008064,HP:0000286,HP:0000280,HP:0000278,HP:0000278,HP:0025548,HP:0001598,HP:0002827,HP:0002828,HP:0000252,HP:0000252,HP:0000252,HP:0000219,HP:0001558,HP:0002860,HP:0031358,HP:0001537,HP:0001508,HP:0001508,HP:0001511,HP:0001511,HP:0012377,HP:0006538,HP:0002936,HP:0001618,HP:0002942,HP:0000343,HP:0011001,HP:0000348,HP:0000320,HP:0032794,HP:0000316,HP:0001629,HP:0001638,HP:0000407,HP:0000483,HP:0000486,HP:0000482,HP:0000494,HP:0012444,HP:0012447,HP:0001765,HP:0000448,HP:0000411,HP:0000411,HP:0001761,HP:0000519,HP:0001838,HP:0000509,HP:0000508,HP:0000504,HP:0001809,HP:0001808,HP:0001807,HP:0012547,HP:0000565,HP:0000546,HP:0000546,HP:0000545,HP:0001875	['MP:0005369', 'MP:0010771', 'MP:0005386', 'MP:0005378', 'MP:0005375', 'MP:0003631', 'MP:0005376', 'MP:0005384', 'MP:0005371', 'MP:0005385']	['HP:0000234', 'HP:0034057', 'HP:0011968', 'HP:0001507', 'HP:0003011', 'HP:0002715', 'HP:3000050', 'HP:0000078', 'HP:0040064', 'HP:0001608', 'HP:0004298', 'HP:0025354', 'HP:0000769', 'HP:0001626', 'HP:0002664', 'HP:0001871', 'HP:0001371', 'HP:0000598', 'HP:0001557', 'HP:0000707', 'HP:0011024', 'HP:0000924', 'HP:0100790', 'HP:0000708', 'HP:0002086', 'HP:0000478', 'HP:0009124', 'HP:0001574', 'HP:0001939']	[['MP:0005382'], ['MP:0005380'], ['MP:0005386'], ['MP:0005378'], ['MP:0005369'], ['MP:0005387'], ['MP:0005382'], ['MP:0005389'], ['MP:0005371'], ['MP:0005386'], ['MP:0005378'], ['MP:0005384'], ['MP:0010771'], ['MP:0005385'], ['MP:0002006'], ['MP:0005397'], ['MP:0005390'], ['MP:0005377'], ['MP:0005386'], ['MP:0003631'], ['MP:0005381'], ['MP:0005390'], ['MP:0005378'], ['MP:0005386'], ['MP:0005388'], ['MP:0005391'], ['MP:0005375'], ['MP:0010771'], ['MP:0005376']]
26	AARS2	57505	Aars2	MGI:2681839		MP:0011092,MP:0000219,MP:0010068,MP:0005011,MP:0001529,MP:0006243,MP:0011100,MP:0002606,MP:0002169,MP:0003921,MP:0001698	HP:0001272,HP:0001270,HP:0001251,HP:0001265,HP:0001260,HP:0001257,HP:0003819,HP:0003811,HP:0001347,HP:0001332,HP:0001324,HP:0000007,HP:0000007,HP:0025401,HP:0003324,HP:0002089,HP:0003487,HP:0002151,HP:0011923,HP:0002186,HP:0002180,HP:0008209,HP:0003596,HP:0003593,HP:0003577,HP:0003557,HP:0008347,HP:0011968,HP:0003688,HP:0003688,HP:0002378,HP:0002376,HP:0002371,HP:0003676,HP:0002353,HP:0002352,HP:0003621,HP:0000639,HP:0001942,HP:0012664,HP:0006980,HP:0006970,HP:0006956,HP:0000716,HP:0000726,HP:0000709,HP:0011463,HP:0011462,HP:0003128,HP:0001522,HP:0001508,HP:0001640,HP:0001639,HP:0001635	['MP:0005385', 'MP:0005387', 'MP:0005386', 'MP:0005391', 'MP:0005397', 'MP:0005378', 'MP:0005380']	['HP:0011968', 'HP:0001507', 'HP:0000707', 'HP:0003011', 'HP:0000708', 'HP:0000478', 'HP:0002086', 'HP:0000078', 'HP:0025354', 'HP:0001626', 'HP:0001939']	[['MP:0005386'], ['MP:0005378'], ['MP:0003631'], ['MP:0005369'], ['MP:0005386'], ['MP:0005391'], ['MP:0005388'], ['MP:0005389'], ['MP:0005384'], ['MP:0005385'], ['MP:0005376']]
27	AARSD1	80755	Aarsd1	MGI:1916934				['']	['']	[['']]
28	AASDH	132949	Aasdh	MGI:2442517		MP:0002941,MP:0002092,MP:0000157		['MP:0005390', 'MP:0005391', 'MP:0005376']	['']	[['']]
29	AASDHPPT	60496	Aasdhppt	MGI:1914868		MP:0005102,MP:0011100,MP:0005292,MP:0013292,MP:0011096,MP:0010053		['MP:0005386', 'MP:0005391', 'MP:0005376']	['']	[['']]
30	AASS	10157	Aass	MGI:1353573		MP:0011874,MP:0000702,MP:0000157	HP:0500163,HP:0500163,HP:0500151,HP:0008589,HP:0010850,HP:0001268,HP:0001285,HP:0001256,HP:0001256,HP:0001250,HP:0001250,HP:0001250,HP:0001252,HP:0001249,HP:0001264,HP:0001264,HP:0001263,HP:0032397,HP:0500204,HP:0500204,HP:0500243,HP:0500208,HP:0500208,HP:0025331,HP:0001348,HP:0001363,HP:0000007,HP:0001337,HP:0001337,HP:0001310,HP:0008947,HP:0002020,HP:0002033,HP:0002015,HP:0002013,HP:0100543,HP:0100543,HP:0002066,HP:0002075,HP:0034464,HP:0040288,HP:0002161,HP:0002161,HP:0002161,HP:0002179,HP:6000270,HP:0003593,HP:0002275,HP:0003532,HP:0009739,HP:0011968,HP:0011966,HP:0002373,HP:0001083,HP:0002312,HP:0002312,HP:0004971,HP:0031867,HP:0006889,HP:0000609,HP:0000601,HP:0001903,HP:0011342,HP:0001987,HP:0001987,HP:0001999,HP:0004322,HP:0004322,HP:0000752,HP:0000752,HP:0100022,HP:0000736,HP:0000736,HP:0000750,HP:0000750,HP:0000708,HP:0012758,HP:0012758,HP:0003131,HP:0003131,HP:0003131,HP:0003297,HP:0003297,HP:0003297,HP:0045074,HP:0003268,HP:0003268,HP:0000252,HP:0000218,HP:0001508,HP:0001507,HP:0030051,HP:0012379,HP:0006532,HP:0002936,HP:0011021,HP:0000319,HP:0011171,HP:0000486,HP:0000457,HP:0012403	['MP:0005387', 'MP:0005390', 'MP:0005378', 'MP:0005367']	['HP:0000234', 'HP:0011968', 'HP:0000079', 'HP:0001507', 'HP:0003011', 'HP:0002715', 'HP:0002017', 'HP:0001626', 'HP:0001871', 'HP:0000598', 'HP:0000707', 'HP:0011024', 'HP:0000924', 'HP:0000708', 'HP:0000478', 'HP:0002086', 'HP:0001574', 'HP:0001939']	[['MP:0005382'], ['MP:0005386'], ['MP:0005367'], ['MP:0005378'], ['MP:0005369'], ['MP:0005387'], ['MP:0005381'], ['MP:0005385'], ['MP:0005397'], ['MP:0005377'], ['MP:0003631'], ['MP:0005381'], ['MP:0005390'], ['MP:0005386'], ['MP:0005391'], ['MP:0005388'], ['MP:0010771'], ['MP:0005376']]
31	AATF	26574	Aatf	MGI:1929608		MP:0001730,MP:0001728,MP:0014239,MP:0003694,MP:0011100,MP:0002663,MP:0000352,MP:0012129,MP:0011094,MP:0012111,MP:0014238,MP:0009781,MP:0001399,MP:0001698,MP:0013292		['MP:0005384', 'MP:0005386', 'MP:0005389', 'MP:0005378', 'MP:0005380']	['']	[['']]
32	AATK	9625	Aatk	MGI:1197518		MP:0000774,MP:0004768,MP:0005404,MP:0008415		['MP:0003631']	['']	[['']]
33	ABAT	18	Abat	MGI:2443582		MP:0011100	HP:0010851,HP:0002415,HP:0007291,HP:0001274,HP:0001254,HP:0001250,HP:0001252,HP:0001263,HP:0003819,HP:0000098,HP:0001347,HP:0000007,HP:0001321,HP:0025430,HP:0011968,HP:0003623,HP:0000278,HP:0000494	[]	['HP:0000234', 'HP:0011968', 'HP:0001507', 'HP:0000707', 'HP:0003011', 'HP:0000924', 'HP:0001608', 'HP:0000708']	[['MP:0005382'], ['MP:0005386'], ['MP:0005378'], ['MP:0003631'], ['MP:0005369'], ['MP:0005390'], ['MP:0005386'], ['MP:0005386']]
34	ABCA1	19	Abca1	MGI:99607		MP:0001730,MP:0006084,MP:0000186,MP:0031115,MP:0002647,MP:0001262,MP:0001552,MP:0001491,MP:0005264,MP:0005330,MP:0003192,MP:0001712,MP:0003984,MP:0001798,MP:0005401,MP:0005181,MP:0000642,MP:0002786,MP:0005185,MP:0003193,MP:0000521,MP:0002216,MP:0011090,MP:0031205,MP:0001697,MP:0011100,MP:0005278,MP:0001126,MP:0001954,MP:0001265,MP:0011086,MP:0002118,MP:0001926,MP:0002625,MP:0005464,MP:0000276,MP:0000639,MP:0001716,MP:0002743,MP:0002270,MP:0002784,MP:0020519,MP:0000691,MP:0001914,MP:0001154,MP:0011750,MP:0030975,MP:0001175,MP:0000703,MP:0002687,MP:0001922,MP:0011109,MP:0011385,MP:0003179,MP:0005179,MP:0001325,MP:0002646,MP:0001182,MP:0000183,MP:0001120,MP:0009080,MP:0001923	HP:0002460,HP:0001114,HP:0007328,HP:0001265,HP:0001349,HP:0001349,HP:0000007,HP:0000006,HP:0002621,HP:0002621,HP:0001433,HP:0002730,HP:0002027,HP:0100546,HP:0003396,HP:0003477,HP:0003477,HP:0002155,HP:0002155,HP:0002155,HP:0002164,HP:0002240,HP:0008404,HP:0008404,HP:0003693,HP:0010829,HP:0010829,HP:0007133,HP:0004943,HP:0031800,HP:0000622,HP:0001903,HP:0031799,HP:0000656,HP:0000656,HP:0003119,HP:0003146,HP:0003233,HP:0003233,HP:0003233,HP:0030814,HP:0000991,HP:0000958,HP:0000958,HP:0005145,HP:0007759,HP:0007759,HP:0011096,HP:0005181,HP:0005181,HP:0001681,HP:0001677,HP:0025608,HP:0001658,HP:0001658,HP:0007957,HP:0001712,HP:0001712,HP:0001744,HP:0000505,HP:0001873	['MP:0005388', 'MP:0005379', 'MP:0005369', 'MP:0005387', 'MP:0005386', 'MP:0005397', 'MP:0005389', 'MP:0005391', 'MP:0005380', 'MP:0005385', 'MP:0005376', 'MP:0005381', 'MP:0005384', 'MP:0005370', 'MP:0005378', 'MP:0005367']	['HP:0000234', 'HP:0003011', 'HP:0002715', 'HP:0012531', 'HP:0001626', 'HP:0001871', 'HP:0000707', 'HP:0000478', 'HP:0003271', 'HP:0001392', 'HP:0001438', 'HP:0001743', 'HP:0001574', 'HP:0001939']	[['MP:0005382'], ['MP:0005369'], ['MP:0005387'], ['MP:0005386'], ['MP:0005385'], ['MP:0005397'], ['MP:0003631'], ['MP:0005391'], ['MP:0005378'], ['MP:0005370'], ['MP:0005378'], ['MP:0005397', 'MP:0005387'], ['MP:0010771'], ['MP:0005376']]
35	ABCA12	26154	Abca12	MGI:2676312		MP:0001242,MP:0001191,MP:0001177,MP:0003853,MP:0009431,MP:0004780,MP:0011087,MP:0001218,MP:0009674,MP:0009931,MP:0001192,MP:0001216,MP:0009594,MP:0003982,MP:0003773,MP:0001201,MP:0001231,MP:0010018,MP:0002796,MP:0003193,MP:0011100,MP:0003743,MP:0004200,MP:0002118,MP:0010814,MP:0001435,MP:0003453,MP:0002270,MP:0001238,MP:0009597,MP:0011089,MP:0001429,MP:0001179,MP:0001198,MP:0002275,MP:0001212,MP:0001196,MP:0009608,MP:0009599,MP:0001190,MP:0001240,MP:0001785,MP:0002177,MP:0002060,MP:0003427,MP:0001230,MP:0003941	HP:0001161,HP:0100806,HP:0001270,HP:0001258,HP:0007431,HP:0007431,HP:0100840,HP:0001217,HP:0003811,HP:0000083,HP:0001376,HP:0007479,HP:0000007,HP:0000007,HP:0000164,HP:0001433,HP:0100543,HP:0002093,HP:0002063,HP:0002047,HP:0003577,HP:0003577,HP:0100716,HP:0002205,HP:0002205,HP:0100758,HP:0001019,HP:0001019,HP:0001019,HP:0200020,HP:0100679,HP:0001944,HP:0001944,HP:0000656,HP:0000656,HP:0000656,HP:0000656,HP:0000656,HP:0004322,HP:0004322,HP:0000989,HP:0000989,HP:0000982,HP:0000982,HP:0000958,HP:0000966,HP:0000962,HP:0000962,HP:0008070,HP:0008064,HP:0008064,HP:0008064,HP:0009381,HP:0001597,HP:0001597,HP:0001596,HP:0000232,HP:0000232,HP:0001522,HP:0001508,HP:0001508,HP:0011039,HP:0000389,HP:0000365,HP:0000364,HP:0001645,HP:0001622,HP:0012472,HP:0000491,HP:0000457,HP:0000518,HP:0000520,HP:0001829,HP:0001820	['MP:0005388', 'MP:0005377', 'MP:0010771', 'MP:0005386', 'MP:0005378', 'MP:0005382', 'MP:0005376', 'MP:0005384', 'MP:0005385']	['HP:0000234', 'HP:0000079', 'HP:0001507', 'HP:0003011', 'HP:0002715', 'HP:0040064', 'HP:0001626', 'HP:0000598', 'HP:0000707', 'HP:0000924', 'HP:0000708', 'HP:0002086', 'HP:0000478', 'HP:0001622', 'HP:0003271', 'HP:0001392', 'HP:0001438', 'HP:0001743', 'HP:0001574', 'HP:0100758', 'HP:0001939']	[['MP:0005382'], ['MP:0005367'], ['MP:0005378'], ['MP:0005369'], ['MP:0005387'], ['MP:0005371'], ['MP:0005385'], ['MP:0005377'], ['MP:0003631'], ['MP:0005390'], ['MP:0005386'], ['MP:0005388'], ['MP:0005391'], ['MP:0005389'], ['MP:0005378'], ['MP:0005370'], ['MP:0005378'], ['MP:0005397', 'MP:0005387'], ['MP:0010771'], ['MP:0005384'], ['MP:0005376']]
36	ABCA13	154664	Abca13	MGI:2388707		MP:0004811,MP:0002966,MP:0009142,MP:0021013,MP:0009198		['MP:0005384', 'MP:0003631', 'MP:0005389', 'MP:0005376']	['']	[['']]
37	ABCA17P	650655	Abca17	MGI:3625331		MP:0002968,MP:0005628		['MP:0005376']	['']	[['']]
38	ABCA2	20	Abca2	MGI:99606		MP:0000745,MP:0001566,MP:0001516,MP:0002574,MP:0003858,MP:0001262,MP:0003871,MP:0002572,MP:0009763,MP:0001415,MP:0001488,MP:0010123,MP:0001547,MP:0001399,MP:0001525,MP:0003459,MP:0031391,MP:0000367,MP:0010053,MP:0001923	HP:0001256,HP:0001250,HP:0001249,HP:0001260,HP:0001324,HP:0000007,HP:0002066,HP:0002286,HP:0002311,HP:0011342,HP:0031936,HP:0000718,HP:0003141,HP:0000252,HP:0000519	['MP:0003631', 'MP:0005376', 'MP:0010771', 'MP:0005386', 'MP:0005390', 'MP:0005378', 'MP:0005389']	['HP:0000234', 'HP:0000478', 'HP:0001574', 'HP:0000707', 'HP:0003011', 'HP:0000924', 'HP:0001939', 'HP:0000708']	[['MP:0005382'], ['MP:0005391'], ['MP:0010771'], ['MP:0003631'], ['MP:0005369'], ['MP:0005390'], ['MP:0005376'], ['MP:0005386']]
39	ABCA3	21	Abca3	MGI:1351617		MP:0001177,MP:0004781,MP:0004780,MP:0011087,MP:0001953,MP:0004782,MP:0010018,MP:0011101,MP:0011163,MP:0011100,MP:0010817,MP:0002118,MP:0001954,MP:0010814,MP:0010890,MP:0002270,MP:0010897,MP:0001575,MP:0001179,MP:0002275,MP:0011143,MP:0001176,MP:0010819,MP:0010909,MP:0010813,MP:0010825,MP:0005202	HP:0025175,HP:0025175,HP:0025179,HP:0025179,HP:0033584,HP:0033542,HP:0100806,HP:0001217,HP:0033649,HP:0032341,HP:0003811,HP:0025394,HP:0025392,HP:0025391,HP:0025390,HP:0025390,HP:0000007,HP:0002643,HP:0002615,HP:0002789,HP:0002789,HP:0002020,HP:0002098,HP:0002094,HP:0002090,HP:0010444,HP:0100598,HP:0005942,HP:0002110,HP:0002104,HP:0003577,HP:0003546,HP:0002206,HP:0002206,HP:0100750,HP:0100759,HP:0033367,HP:0011947,HP:0001063,HP:0031950,HP:0031950,HP:0012735,HP:0012735,HP:0000765,HP:0030863,HP:0045051,HP:0030830,HP:0000961,HP:0000961,HP:0002878,HP:0002878,HP:0002875,HP:0002875,HP:0001522,HP:0001508,HP:0012378,HP:0006530,HP:0006517,HP:0001695,HP:0001649,HP:0001662,HP:0001622,HP:0031631,HP:0032980,HP:0012418,HP:0012418	['MP:0005388', 'MP:0005376', 'MP:0005386', 'MP:0005385']	['HP:0001507', 'HP:0011024', 'HP:0000924', 'HP:0002715', 'HP:0002086', 'HP:0040064', 'HP:0003546', 'HP:0001622', 'HP:0012378', 'HP:0001574', 'HP:0001626', 'HP:0001939']	[['MP:0005378'], ['MP:0005381'], ['MP:0005390'], ['MP:0005387'], ['MP:0005388'], ['MP:0005371'], ['MP:0005376'], ['MP:0005389'], ['MP:0005386'], ['MP:0010771'], ['MP:0005385'], ['MP:0005376']]
40	ABCA4	24	Abca4	MGI:109424		MP:0011232,MP:0008584,MP:0008842,MP:0005561,MP:0003729,MP:0005253,MP:0008515,MP:0008450,MP:0005239,MP:0005201,MP:0004609,MP:0003011	HP:0001133,HP:0001249,HP:0001347,HP:0000035,HP:0000007,HP:0000007,HP:0000007,HP:0000006,HP:0000135,HP:0007675,HP:0007663,HP:0007663,HP:0005978,HP:0003621,HP:0030500,HP:0000639,HP:0000649,HP:0000648,HP:0000618,HP:0000613,HP:0000613,HP:0000610,HP:0000608,HP:0000608,HP:0000608,HP:0000602,HP:0000603,HP:0000603,HP:0000662,HP:0000662,HP:0000662,HP:0000662,HP:0011463,HP:0011462,HP:0030786,HP:0030786,HP:0011504,HP:0011504,HP:0000842,HP:0008002,HP:0008059,HP:0008046,HP:0008035,HP:0007722,HP:0007722,HP:0007703,HP:0007703,HP:0007704,HP:0007787,HP:0007737,HP:0007737,HP:0001513,HP:0007843,HP:0007843,HP:0007843,HP:0007814,HP:0030329,HP:0007994,HP:0007994,HP:0007984,HP:0000407,HP:0000405,HP:0000493,HP:0000510,HP:0000512,HP:0000512,HP:0000505,HP:0000505,HP:0000505,HP:0000501,HP:0000580,HP:0000563,HP:0000572,HP:0000551,HP:0000551,HP:0000551,HP:0000546,HP:0000548,HP:0000543,HP:0000543,HP:0000543	['MP:0005390', 'MP:0003631', 'MP:0005376', 'MP:0005391', 'MP:0005397']	['HP:0000598', 'HP:0001507', 'HP:0003117', 'HP:0000707', 'HP:0000708', 'HP:0000478', 'HP:0000078', 'HP:0000818', 'HP:0001626', 'HP:0001939']	[['MP:0005377'], ['MP:0005378'], ['MP:0005376'], ['MP:0003631'], ['MP:0005386'], ['MP:0005391'], ['MP:0005389'], ['MP:0005379'], ['MP:0005385'], ['MP:0005376']]
41	ABCA5	23461	Abca5	MGI:2386607		MP:0000745,MP:0002083,MP:0002135,MP:0000266,MP:0002750,MP:0005314,MP:0002339,MP:0003503,MP:0000709,MP:0003068,MP:0000598,MP:0000274,MP:0004696,MP:0010017,MP:0000691,MP:0020409,MP:0000609,MP:0002795,MP:0004566,MP:0000703,MP:0001785,MP:0000689,MP:0002060,MP:0000702	HP:0009928,HP:0001250,HP:0001251,HP:0000007,HP:0000164,HP:0000169,HP:0000169,HP:0100543,HP:0002230,HP:0001007,HP:0001007,HP:0002353,HP:0000684,HP:0000664,HP:0012810,HP:0004540,HP:0000998,HP:0000286,HP:0000280,HP:0000212,HP:0000494,HP:0000414,HP:0000574	['MP:0005369', 'MP:0005387', 'MP:0010771', 'MP:0005386', 'MP:0005391', 'MP:0005397', 'MP:0005378', 'MP:0005370', 'MP:0005376', 'MP:0005379', 'MP:0005385', 'MP:0005367']	['HP:0000234', 'HP:0001574', 'HP:0000707', 'HP:0002664']	[['MP:0005382'], ['MP:0010771'], ['MP:0003631'], ['MP:0002006']]
42	ABCA6	23460	Abca6	MGI:1923434		MP:0005343,MP:0005642,MP:0005419,MP:0002608		['MP:0005397', 'MP:0005376']	['']	[['']]
