	gene_human	entrez_id_human	gene_mouse	MGI	MPO_lower	HPO_lower	clusters_m	clusters_h	n_clusters_m	n_clusters_h
10	AADACL3	126767	Aadacl3	MGI:2685281						
11	AADAT	51166	Aadat	MGI:1345167	MP:0002882,MP:0002862,MP:0001399,MP:0003153,MP:0001525		1216,6334,3358,3786,3330		5	
12	AAGAB	79719	Aagab	MGI:1914189		HP:0000972,HP:0012500,HP:0100751,HP:0002861,HP:0012126,HP:0012531,HP:0002860,HP:0006725,HP:0005584,HP:0040276,HP:0030692,HP:0045059,HP:0007530,HP:0040162,HP:0010622,HP:0012189,HP:0040274,HP:0003002,HP:0025092,HP:0012125,HP:0002671,HP:0011124,HP:0025114,HP:0100526,HP:0000982,HP:0008404		2488,2657,3522,2378,248,5062,198,226,653,2183,1002,1409,2726,3040,226,3753,5422,5422,2657,1961,1600,5377,2317,4229,1647,2569		23
13	AAK1	22848	Aak1	MGI:1098687	MP:0005293,MP:0005567,MP:0001469,MP:0005179,MP:0001399,MP:0003921,MP:0005419,MP:0003795,MP:0002764,MP:0002574,MP:0010053,MP:0003731,MP:0002968,MP:0011110,MP:0002941,MP:0001489,MP:0004738,MP:0005343,MP:0009141		3334,2847,3311,181,3358,1363,2053,1978,1292,1454,1768,3448,3204,3610,940,2162,5756,636,3547		19	
14	AAMDC	28971	Aamdc	MGI:1913523						
15	AAMP	14	Aamp	MGI:107809	MP:0011100,MP:0013292		3158,1756		2	
16	AANAT	15	Aanat	MGI:1328365	MP:0011728,MP:0011729		713,713		1	
17	AAR2	25980	Aar2	MGI:1915545						
18	AARD	441376	Aard	MGI:2181621						
19	AARS1	16	Aars1	MGI:2384560	MP:0011098,MP:0001511,MP:0002188,MP:0000876,MP:0003141,MP:0031131,MP:0004088,MP:0001544,MP:0005608,MP:0003413,MP:0000418,MP:0001262,MP:0001265,MP:0008260,MP:0003224,MP:0000745,MP:0000414,MP:0003809,MP:0010688,MP:0003393,MP:0005598,MP:0001393,MP:0004215,MP:0000278,MP:0001525	HP:0001249,HP:0001511,HP:0000348,HP:0002942,HP:0001618,HP:0001284,HP:0003438,HP:0003431,HP:0030903,HP:0008064,HP:0002705,HP:0001257,HP:0001537,HP:0000938,HP:0008936,HP:0001808,HP:0012760,HP:0000643,HP:0000601,HP:0002827,HP:0001268,HP:0006970,HP:0010871,HP:0001598,HP:0000343,HP:0011968,HP:0008391,HP:0002376,HP:0100660,HP:0008944,HP:0001265,HP:0007381,HP:0012196,HP:0011001,HP:0001638,HP:0000482,HP:0000656,HP:0008003,HP:0001765,HP:0002310,HP:0000509,HP:0007495,HP:0002828,HP:0002119,HP:0002936,HP:0000286,HP:0000958,HP:0007587,HP:0002352,HP:0007266,HP:0012377,HP:0012547,HP:0000407,HP:0001807,HP:0010844,HP:0001558,HP:0000508,HP:0001097,HP:0000133,HP:0010551,HP:0001903,HP:0000519,HP:0000973,HP:0007018,HP:0001337,HP:0020045,HP:0007034,HP:0045055,HP:0000964,HP:0000278,HP:0008619,HP:0100275,HP:0032794,HP:0000751,HP:0001263,HP:0012447,HP:0000252,HP:0002020,HP:0000504,HP:0002355,HP:0000608,HP:0009027,HP:0001363,HP:0003477,HP:0000411,HP:0002133,HP:0002197,HP:0006297,HP:0012179,HP:0002066,HP:0100710,HP:0004322,HP:0000668,HP:0001273,HP:0003487,HP:0031358,HP:0002293,HP:0000280,HP:0001336,HP:0002719,HP:0001276,HP:0000219,HP:0000545,HP:0003429,HP:0008386,HP:0000546,HP:0002509,HP:0001875,HP:0002599,HP:0000483,HP:0002120,HP:0000648,HP:0000565,HP:0002317,HP:0000992,HP:0000613,HP:0000717,HP:0001260,HP:0011448,HP:0002521,HP:0002188,HP:0000448,HP:0001373,HP:0006538,HP:0002072,HP:0000494,HP:0001315,HP:0002209,HP:4000007,HP:0009886,HP:0001809,HP:0001264,HP:0003202,HP:0011443,HP:0000639,HP:0000486,HP:0002080,HP:0000320,HP:0000708,HP:0003079,HP:0002750,HP:0001629,HP:0001838,HP:0025548,HP:0001332,HP:0002860,HP:0002059,HP:0002562,HP:0000028,HP:0002224,HP:0200134,HP:0007633,HP:0001338,HP:0002451,HP:0001217,HP:0002299,HP:0000316,HP:0000750,HP:0001290,HP:0007485,HP:0410219,HP:0008070,HP:0000726,HP:0007340,HP:0001761,HP:0001508,HP:0045075,HP:0007256,HP:0001298,HP:0002460,HP:0002421,HP:0004305,HP:0002063,HP:0003139,HP:0001250,HP:0100876,HP:0001251,HP:0012444,HP:0009830,HP:0000670	2117,2594,1100,819,1378,3253,1091,415,1902,6743,2106,828,3130,6801,1448,3283,472,3173,5853,1899,1630,3307,1143,94,3330	544,1913,1353,5329,3078,1744,2575,2129,4454,51,2304,2530,5532,3016,3417,2443,1933,1560,3562,349,3831,512,482,1131,1293,2933,2406,4188,3329,3342,1357,1854,2616,1705,3559,2901,1752,1618,148,633,3065,1082,1469,184,2103,3206,5521,223,3066,4710,4018,65,2507,1809,105,2256,136,2913,3621,2356,4139,4714,3418,2268,3641,3851,4945,51,2468,1747,2005,4272,1433,2596,3622,2315,847,4589,1715,2560,1467,3,3629,3697,2191,101,1210,4930,3130,2096,3134,76,96,105,3348,3979,4977,848,3277,2809,4056,1783,2691,934,3350,3554,784,2359,4849,915,4840,2221,987,4748,223,949,581,2855,2891,5276,3192,3152,3254,1695,1957,4688,3771,1192,1854,4664,1809,422,452,105,3119,1064,2877,2356,3011,223,3249,2057,468,5379,1265,198,2161,51,1396,2084,2616,3480,1348,4904,381,4940,3838,1515,5483,3166,3621,910,1517,3263,1670,1900,4246,750,1425,3018,1181,2685,1428,2227,3492,3787,3140,2899,2602,3865	25	169
20	AARS2	57505	Aars2	MGI:2681839	MP:0000219,MP:0002606,MP:0005011,MP:0010068,MP:0011100,MP:0011092,MP:0003921,MP:0001698,MP:0001529	HP:0012664,HP:0002352,HP:0025401,HP:0011923,HP:0001332,HP:0001272,HP:0002353,HP:0008347,HP:0001324,HP:0001639,HP:0001640,HP:0001257,HP:0002378,HP:0000726,HP:0001260,HP:0001635,HP:0002371,HP:0001522,HP:0000709,HP:0001508,HP:0002089,HP:0006980,HP:0003324,HP:0003688,HP:0006970,HP:0001942,HP:0011968,HP:0002376,HP:0000716,HP:0001265,HP:0001347,HP:0003557,HP:0008209,HP:0006956,HP:0002180,HP:0003487,HP:0002186,HP:0001251,HP:0000639,HP:0001270,HP:0003811,HP:0003128,HP:0002151,HP:0003819	887,1538,4876,3801,3158,884,1363,852,806	409,3066,5279,3711,1265,118,3340,2876,4890,3083,2012,2530,2500,1517,2855,3792,3357,3009,4988,1900,2556,3077,3845,3669,512,208,2933,4188,2326,1357,4753,777,2943,2279,1441,3348,3200,3140,3119,3251,1972,2422,3857,2937	9	44
21	AASDH	132949	Aasdh	MGI:2442517	MP:0002941,MP:0000157,MP:0002092		940,2749,1508		3	
22	AASDHPPT	60496	Aasdhppt	MGI:1914868	MP:0011096,MP:0011100,MP:0005292,MP:0005102,MP:0010053,MP:0013292		1428,3158,949,714,1768,1756		6	
23	AASS	10157	Aass	MGI:1353573	MP:0011874,MP:0000157,MP:0000702	HP:0001083,HP:0000736,HP:0002033,HP:0000319,HP:0001249,HP:0000708,HP:0025331,HP:0001285,HP:0500151,HP:0001987,HP:0031867,HP:0001999,HP:0003268,HP:0011342,HP:0012758,HP:0003297,HP:0032397,HP:0009739,HP:0001310,HP:0001903,HP:0100022,HP:0500163,HP:0001507,HP:0000750,HP:0011171,HP:0002275,HP:0001337,HP:0000218,HP:0001348,HP:0003131,HP:0002015,HP:0000457,HP:0001256,HP:0002179,HP:0001263,HP:0011021,HP:0012403,HP:0002312,HP:0000601,HP:0003532,HP:0040288,HP:0001268,HP:0000252,HP:0500204,HP:0002020,HP:0011966,HP:0008947,HP:0001252,HP:0001508,HP:0000609,HP:0045074,HP:0001363,HP:0008589,HP:0011968,HP:0010850,HP:0002075,HP:0002161,HP:6000270,HP:0002373,HP:0100543,HP:0012379,HP:0001264,HP:0002066,HP:0000752,HP:0030051,HP:0000486,HP:0001250,HP:0004322,HP:0034464,HP:0006532,HP:0006889,HP:0004971,HP:0002013,HP:0500243,HP:0002936,HP:0500208	1467,2749,4406	277,42,5020,347,544,3011,1347,1456,818,3945,1347,818,484,2235,2885,484,2622,818,920,4139,2072,3945,692,1515,2320,291,3641,4125,3073,4802,2499,662,264,1194,3622,3987,211,3177,3562,484,1983,3831,847,1983,4589,2764,2607,2755,1900,962,2622,3629,210,2933,1582,2039,256,291,3850,2605,2872,422,2096,3303,1434,1064,3492,76,211,5455,713,2763,378,2622,2103,256	3	64
24	AATF	26574	Aatf	MGI:1929608	MP:0001730,MP:0002663,MP:0011094,MP:0011100,MP:0012129,MP:0013292,MP:0000352,MP:0001399,MP:0009781,MP:0001698,MP:0012111		882,1878,380,3158,380,1756,1968,3358,948,852,948		9	
25	AATK	9625	Aatk	MGI:1197518	MP:0008415,MP:0000774,MP:0005404,MP:0004768		3365,6303,1814,1609		4	
26	ABAT	18	Abat	MGI:2443582	MP:0011100	HP:0001263,HP:0001347,HP:0002415,HP:0025430,HP:0001274,HP:0001252,HP:0000098,HP:0001321,HP:0001250,HP:0001254,HP:0010851,HP:0007291,HP:0000278,HP:0000494,HP:0011968,HP:0003819	3158	3622,4753,1031,1334,4755,2755,539,3219,3492,1,1462,5238,1747,4688,2933,2937	1	16
27	ABCA1	19	Abca1	MGI:99607	MP:0001154,MP:0030975,MP:0004809,MP:0000703,MP:0001697,MP:0002118,MP:0000180,MP:0008882,MP:0002625,MP:0011109,MP:0002136,MP:0011385,MP:0001545,MP:0005185,MP:0001730,MP:0003984,MP:0020519,MP:0001265,MP:0001325,MP:0005181,MP:0001798,MP:0001923,MP:0003192,MP:0010161,MP:0002270,MP:0031205,MP:0002784,MP:0000186,MP:0000691,MP:0003982,MP:0001120,MP:0005179,MP:0002081,MP:0003981,MP:0002646,MP:0005330,MP:0009080,MP:0000642,MP:0006410,MP:0011100,MP:0000521,MP:0005401,MP:0001175,MP:0003009,MP:0008681,MP:0003193,MP:0001922,MP:0005416,MP:0002743,MP:0008690,MP:0008722,MP:0005264,MP:0002647,MP:0001126,MP:0001491,MP:0005464,MP:0001916,MP:0001182,MP:0000219,MP:0011750,MP:0001914,MP:0001712,MP:0011090,MP:0000223,MP:0001926,MP:0000220,MP:0002687,MP:0000240,MP:0006084,MP:0000639,MP:0001954,MP:0011086,MP:0001552,MP:0001716,MP:0000604,MP:0005278,MP:0031115,MP:0002083,MP:0004254,MP:0002786,MP:0003795,MP:0001262,MP:0002398,MP:0002216,MP:0000183,MP:0011110,MP:0000276,MP:0003179	HP:0003693,HP:0000958,HP:0003146,HP:0100546,HP:0030814,HP:0002730,HP:0001433,HP:0007328,HP:0005145,HP:0001903,HP:0003233,HP:0001681,HP:0010829,HP:0002621,HP:0003396,HP:0001114,HP:0004943,HP:0031800,HP:0001349,HP:0003119,HP:0011096,HP:0007957,HP:0001677,HP:0001873,HP:0007133,HP:0002164,HP:0007759,HP:0005181,HP:0001744,HP:0025608,HP:0002460,HP:0003477,HP:0002240,HP:0031799,HP:0000505,HP:0000991,HP:0001712,HP:0001265,HP:0002155,HP:0000656,HP:0000622,HP:0001658,HP:0002027,HP:0008404	202,6976,1195,2846,1509,1953,6758,3170,25,1178,602,397,525,1037,882,1890,1690,3130,2823,3436,4247,522,6085,4928,2932,795,3631,414,5442,620,1346,181,626,3687,3475,704,5266,1324,2826,3158,3461,795,3019,2371,6840,5558,5979,3308,1993,3369,734,3293,7098,2034,2072,1758,2458,1132,887,800,3491,6781,5114,3530,1495,2267,1613,1203,6611,3039,5201,203,3303,3171,3010,3555,6933,3221,6736,33,1978,828,951,3529,181,3610,1422,1073	2038,5521,3694,714,2158,585,1156,988,1414,4139,1700,2158,1285,903,5098,1683,1714,1683,3341,2875,2190,4159,2758,3247,4425,2555,2545,164,1607,585,3018,3697,4950,2158,5235,2068,2147,1357,5294,1752,462,3006,3693,2569	86	40
28	ABCA12	26154	Abca12	MGI:2676312	MP:0001190,MP:0009594,MP:0009674,MP:0004780,MP:0001191,MP:0002118,MP:0001218,MP:0001429,MP:0001238,MP:0003982,MP:0001192,MP:0001785,MP:0009431,MP:0009931,MP:0011087,MP:0001216,MP:0002177,MP:0010018,MP:0003453,MP:0001435,MP:0009608,MP:0001240,MP:0002060,MP:0002796,MP:0001177,MP:0003853,MP:0003773,MP:0003427,MP:0001198,MP:0011100,MP:0011089,MP:0001179,MP:0001212,MP:0001196,MP:0001242,MP:0002275,MP:0003743,MP:0003193,MP:0010814,MP:0001231,MP:0001230,MP:0004200,MP:0001201,MP:0003941,MP:0009597,MP:0002270,MP:0009599	HP:0000958,HP:0001820,HP:0000962,HP:0100679,HP:0001433,HP:0001622,HP:0001829,HP:0100716,HP:0100840,HP:0002047,HP:0001217,HP:0001161,HP:0008064,HP:0000083,HP:0007479,HP:0001597,HP:0000518,HP:0001376,HP:0001019,HP:0000232,HP:0011039,HP:0008070,HP:0000457,HP:0009381,HP:0001258,HP:0000164,HP:0001522,HP:0001645,HP:0000989,HP:0001508,HP:0000491,HP:0100806,HP:0003811,HP:0000520,HP:0001944,HP:0000966,HP:0000389,HP:0100758,HP:0007431,HP:0001596,HP:0002063,HP:0002093,HP:0100543,HP:0000656,HP:0000365,HP:0200020,HP:0004322,HP:0002205,HP:0012472,HP:0001270,HP:0000982,HP:0000364	921,4997,3839,5602,235,1953,1570,1539,7117,620,3251,2389,363,3968,5425,430,277,218,360,5206,5573,1808,2028,1759,1085,8,6014,6512,2506,3158,639,756,113,1168,2155,531,1280,5558,1239,2161,5807,2809,4407,1485,6179,2932,5727	5521,5363,2505,1162,1156,470,1595,3827,1709,706,381,3017,51,3241,3162,1735,16,3828,3323,3904,3306,910,662,1814,682,289,3009,2429,5504,1900,1613,2425,1972,2780,4719,1329,613,947,1288,4035,1428,2767,2605,1752,174,2016,76,4960,828,3251,1647,3917	47	52
29	ABCA13	154664	Abca13	MGI:2388707	MP:0004811,MP:0009198,MP:0002966,MP:0021013,MP:0009142		2612,771,3747,771,1169		4	
30	ABCA17P	650655	Abca17	MGI:3625331	MP:0002968,MP:0005628		3204,3612		2	
31	ABCA2	20	Abca2	MGI:99606	MP:0001923,MP:0001566,MP:0001262,MP:0009763,MP:0002572,MP:0003459,MP:0001547,MP:0001488,MP:0000745,MP:0001399,MP:0001516,MP:0002574,MP:0031391,MP:0010053,MP:0003858,MP:0003871,MP:0001415,MP:0001525	HP:0001324,HP:0001249,HP:0002286,HP:0000252,HP:0002066,HP:0002311,HP:0000519,HP:0001250,HP:0031936,HP:0001260,HP:0011342,HP:0000718,HP:0003141,HP:0001256	522,5487,828,976,3225,5643,1560,3449,3283,3358,2158,1454,2973,1768,4655,4414,3052,3330	4890,544,3372,847,2096,463,4714,3492,2606,2855,2235,2327,961,264	18	14
32	ABCA3	21	Abca3	MGI:1351617	MP:0004780,MP:0002118,MP:0011101,MP:0004781,MP:0001954,MP:0005202,MP:0011087,MP:0010813,MP:0010890,MP:0010018,MP:0011163,MP:0001177,MP:0001953,MP:0011100,MP:0001575,MP:0001179,MP:0002275,MP:0004782,MP:0010819,MP:0010909,MP:0010817,MP:0010814,MP:0011143,MP:0010897,MP:0001176,MP:0002270,MP:0010825	HP:0001063,HP:0002878,HP:0025390,HP:0002090,HP:0001622,HP:0045051,HP:0002643,HP:0006530,HP:0002206,HP:0010444,HP:0000961,HP:0001217,HP:0011947,HP:0025392,HP:0002098,HP:0002104,HP:0002094,HP:0006517,HP:0001649,HP:0002615,HP:0025391,HP:0025175,HP:0025394,HP:0031950,HP:0030830,HP:0001522,HP:0033542,HP:0001508,HP:0002020,HP:0012735,HP:0002875,HP:0025179,HP:0002789,HP:0100806,HP:0002110,HP:0003546,HP:0000765,HP:0001662,HP:0033367,HP:0012378,HP:0033584,HP:0100598,HP:0100759,HP:0033649,HP:0030863,HP:0001695,HP:0012418,HP:0100750,HP:0032341,HP:0031631,HP:0005942,HP:0003811,HP:0032980	5602,1953,5068,1892,5201,1916,5425,5460,5592,218,3597,1085,2132,3158,6441,756,531,6937,28,2160,531,1239,1725,6828,189,2932,2379	1073,4048,964,3844,470,964,4698,635,871,975,530,381,3500,3520,533,980,2802,5362,284,2236,3625,1510,635,964,829,3009,3858,1900,4589,2727,5530,2644,841,2425,1510,5433,535,646,1510,2403,455,279,4709,1510,3013,455,449,4360,3625,975,165,1972,2236	26	43
33	ABCA4	24	Abca4	MGI:109424	MP:0003011,MP:0005253,MP:0004609,MP:0005239,MP:0003729,MP:0005103,MP:0008450,MP:0005561,MP:0005551,MP:0008584,MP:0004021,MP:0001004,MP:0002092,MP:0001326,MP:0008515,MP:0006187,MP:0008446,MP:0001327,MP:0005546,MP:0004022,MP:0011232,MP:0005201	HP:0000510,HP:0000551,HP:0001249,HP:0005978,HP:0000580,HP:0007675,HP:0000407,HP:0000546,HP:0000548,HP:0007722,HP:0007814,HP:0007704,HP:0011504,HP:0000603,HP:0000493,HP:0000648,HP:0030329,HP:0007787,HP:0007737,HP:0000405,HP:0000501,HP:0000572,HP:0008035,HP:0000649,HP:0007984,HP:0000613,HP:0030786,HP:0001513,HP:0000563,HP:0007994,HP:0008046,HP:0000543,HP:0000842,HP:0007703,HP:0000608,HP:0000505,HP:0008059,HP:0001347,HP:0000135,HP:0030500,HP:0000512,HP:0007663,HP:0007843,HP:0001133,HP:0000639,HP:0000035,HP:0000602,HP:0000618,HP:0008002,HP:0000610,HP:0000662	6287,1036,5906,1087,2427,1963,2602,2337,4567,2953,2663,2525,1508,2575,7113,6633,5388,2420,5578,2148,5027,1972	2628,1025,544,2031,1677,1777,2507,3554,2806,2515,4927,47,3818,472,1419,2221,93,1546,2479,4908,820,3859,1419,2593,267,949,5314,2633,3366,1052,1971,3902,2061,3434,1467,5235,1627,4753,2496,2681,772,2373,3139,1570,3119,2445,5021,2634,5479,1824,2738	22	50
34	ABCA5	23461	Abca5	MGI:2386607	MP:0010017,MP:0000703,MP:0000691,MP:0003503,MP:0004696,MP:0001785,MP:0003068,MP:0002795,MP:0002135,MP:0002750,MP:0002083,MP:0002060,MP:0020409,MP:0004566,MP:0000702,MP:0000745,MP:0000609,MP:0000598,MP:0002339,MP:0000709,MP:0000274,MP:0005314,MP:0000689,MP:0000266	HP:0000684,HP:0001007,HP:0002353,HP:0000664,HP:0009928,HP:0000164,HP:0002230,HP:0000414,HP:0000494,HP:0000998,HP:0000169,HP:0012810,HP:0004540,HP:0100543,HP:0001250,HP:0001251,HP:0000212,HP:0000280,HP:0000574,HP:0000286	405,2846,5442,3302,152,2389,3193,1338,341,1025,3221,2028,232,138,4406,3283,1803,1856,2677,1295,3465,5416,1499,184	3910,2266,3340,1410,4815,289,3081,3190,4688,2597,1797,2650,3081,2605,3492,3140,1685,848,3898,3206	24	19
35	ABCA6	23460	Abca6	MGI:1923434	MP:0002608,MP:0005642,MP:0005419,MP:0005343		1519,1971,2053,636		4	
36	ABCA7	10347	Abca7	MGI:1351646	MP:0004151,MP:0002989,MP:0005560,MP:0013279,MP:0000186,MP:0011396,MP:0001783,MP:0005179	HP:0001276,HP:0100256,HP:0001249,HP:0012433,HP:0002120,HP:0002185,HP:0410170,HP:0002463,HP:0000726,HP:0002354,HP:0000738,HP:0003791,HP:0000504,HP:0001300,HP:0012759,HP:0000657,HP:0000713,HP:0011446,HP:0000716,HP:0001289,HP:0002071,HP:0010525,HP:0010526,HP:0001250,HP:0002186,HP:0001251,HP:0002511,HP:0030219,HP:0000734,HP:0002381,HP:0001336	2633,6,5589,3533,414,3403,1848,181	4056,1535,544,1589,4840,196,1800,11,1517,73,1707,5440,1715,2115,695,1279,2182,921,2326,38,2018,3200,1120,3492,3200,3140,196,3200,2416,2686,3277	8	28
37	ABCA9	10350	Abca9	MGI:2386796	MP:0020870		2362		1	
38	ABCB10	23456	Abcb10	MGI:1860508	MP:0011098,MP:0004485,MP:0006143,MP:0008388,MP:0003717,MP:0003674,MP:0003396,MP:0001588,MP:0000607,MP:0002640,MP:0002875,MP:0006264,MP:0000609,MP:0002874,MP:0002591,MP:0005642,MP:0006035,MP:0006036,MP:0000598,MP:0001770,MP:0000245,MP:0011092,MP:0013657		2117,445,3486,5348,1297,2236,5204,3939,2365,593,2433,589,1803,1289,2081,1971,2603,2538,1856,3192,2452,884,4585		23	
39	ABCB11	8647	Abcb11	MGI:1351619	MP:0004777,MP:0010087,MP:0003982,MP:0005344,MP:0001732,MP:0010398,MP:0011896,MP:0008991,MP:0005415,MP:0008806,MP:0001402,MP:0004789,MP:0000607,MP:0001262,MP:0001175,MP:0001325,MP:0003960,MP:0002644,MP:0002968,MP:0011110,MP:0004774,MP:0002941,MP:0000599,MP:0005343,MP:0004772,MP:0005627	HP:0000821,HP:0012420,HP:0001406,HP:0031248,HP:0012164,HP:0001394,HP:0000988,HP:0001402,HP:0001622,HP:0002643,HP:0011117,HP:0100785,HP:0012689,HP:0000952,HP:0012202,HP:0001337,HP:0001046,HP:0001541,HP:0100602,HP:0001082,HP:0002014,HP:0000989,HP:0001508,HP:0001744,HP:0002240,HP:0000716,HP:0002910,HP:0030900,HP:0002908,HP:0003155,HP:0002630,HP:0002027,HP:0004322,HP:0001732,HP:0001081,HP:0003819,HP:0002960,HP:0001518,HP:0002904	4213,6434,620,3397,2686,2466,1572,5811,5800,5671,1024,6524,2365,828,3019,2823,3372,1450,3204,3610,5559,940,1393,636,2513,1391	2706,3880,5251,999,2462,1574,1067,724,470,4698,1614,2462,1614,3935,362,3641,4778,3479,3642,4008,3023,5504,1900,1607,4950,2326,1010,5504,32,4156,2331,3693,76,1816,424,2937,1068,2548,3861	26	36
