gene_name	iHS_GBR_max_500	iHS_snps_per_gene	pval_iHS_max	pval_iHS_max_fdr
RP11-345P4.9	2.098	28.0	0.3978441041079215	1.0
MIB2	1.681	121.0	0.9968059835706299	1.0
MMP23B	1.224	14.0	0.8058190575543013	1.0
CDK11B	5.681	126.0	8.43629351043873e-07	7.411538756665425e-06
RP11-345P4.10		0.0	0.0	0.0
SLC35E2B	0.556	26.0	0.9998597395709234	1.0
RP11-345P4.7		0.0	0.0	0.0
RP11-345P4.6		0.0	0.0	0.0
MMP23A		0.0	0.0	0.0
CDK11A	2.317	38.0	0.324013093202952	1.0
RP1-283E3.8	2.317	38.0	0.324013093202952	1.0
RP1-283E3.4		0.0	0.0	0.0
SLC35E2	0.892	8.0	0.807621483696626	1.0
NADK	2.274	195.0	0.8948260072101681	1.0
GNB1	1.47	721.0	1.0	1.0
RP1-140A9.1	1.485	11.0	0.543315013019021	1.0
CALML6	0.967	8.0	0.7676670669720248	1.0
TMEM52		0.0	0.0	0.0
C1orf222	3.187	850.0	0.45729314940450105	1.0
RP11-547D24.1	0.331	24.0	0.9999849047447625	1.0
GABRD	3.991	107.0	0.003513917093481922	0.026438913267732643
RP11-547D24.3	1.735	15.0	0.4694057936008472	1.0
PRKCZ	3.701	1297.0	0.1300102159136235	0.7263799819198778
RP5-892K4.1	0.861	35.0	0.9994870820627375	1.0
RP11-181G12.2	1.309	21.0	0.8778404871217695	1.0
C1orf86	2.035	190.0	0.9820114623275424	1.0
AL590822.2	1.944	22.0	0.43919764958372487	1.0
AL590822.1	1.05	19.0	0.9510903095508626	1.0
RP11-181G12.5	1.05	11.0	0.8257275910212492	1.0
RP11-181G12.4	1.551	59.0	0.9747506063170439	1.0
SKI	2.086	712.0	0.9999983046329285	1.0
MORN1	2.983	733.0	0.6489678532663113	1.0
RP4-713A8.1	1.725	13.0	0.42957688720254417	1.0
AL589739.1	0.0	6.0	0.984375	1.0
RP4-740C4.6	2.354	41.0	0.3178579617442102	1.0
RP4-740C4.5	0.939	14.0	0.9310218461065531	1.0
RP4-740C4.7	1.117	9.0	0.7203013929199839	1.0
RP4-740C4.9	1.204	16.0	0.856574228322921	1.0
RP4-740C4.8	2.937	10.0	0.016447192308627012	0.1144479310856475
AL513477.1	1.186	32.0	0.9818878475390503	1.0
RER1	0.788	95.0	0.9999999999013028	1.0
PEX10	1.188	94.0	0.9999920377446567	1.0
PLCH2	4.348	710.0	0.004865296122408713	0.03603969192709873
RP3-395M20.2	0.555	18.0	0.9978682662538286	1.0
RP3-395M20.3	1.53	24.0	0.7902716521535004	1.0
PANK4	2.355	167.0	0.7885681325096305	1.0
HES5	0.521	18.0	0.9984204332196486	1.0
RP3-395M20.12	1.137	5.0	0.49515595958276126	1.0
RP3-395M20.8	1.346	63.0	0.9972131438600504	1.0
TNFRSF14	1.424	59.0	0.991276267054078	1.0
RP3-395M20.7	4.869	36.0	2.0189395253944475e-05	0.00017181326803842144
RP3-395M20.9	0.693	30.0	0.9997745832412203	1.0
FAM213B	0.77	49.0	0.9999950466853971	1.0
MMEL1	1.067	157.0	0.9999999999698623	1.0
RP13-436F16.1		0.0	0.0	0.0
TTC34	1.153	115.0	0.9999997698487487	1.0
RP11-740P5.2	0.215	13.0	0.9990577873073138	1.0
RP11-740P5.3	1.728	37.0	0.7955332970078814	1.0
ACTRT2	0.231	22.0	0.9999904399173737	1.0
LINC00982	1.824	73.0	0.9204143672159167	1.0
AL008733.1	1.302	10.0	0.6373543075655175	1.0
PRDM16	5.058	3923.0	0.0008306961960865555	0.006565234517903033
RP1-163G9.2	1.982	23.0	0.42454644106409933	1.0
RP11-22L13.1	0.842	68.0	0.9999997405625252	1.0
ARHGEF16	2.933	297.0	0.3928255525478621	1.0
RP11-168F9.2	1.757	14.0	0.4308545033811504	1.0
MEGF6	4.385	1440.0	0.008316227523894382	0.05995227068683391
MIR551A	0.0	16.0	0.9999847412109375	1.0
RP11-46F15.2	2.064	21.0	0.33882387532640734	1.0
TPRG1L	1.908	50.0	0.7606999046775791	1.0
WRAP73	1.798	214.0	0.9996163349630532	1.0
TP73	2.366	864.0	0.9995915391983152	1.0
RP5-1092A11.5	2.366	120.0	0.6616809579652358	1.0
RP5-1092A11.2	0.855	36.0	0.9996164181752255	1.0
TP73-AS1	2.355	121.0	0.6756218143438799	1.0
CCDC27	1.662	179.0	0.9998570859943443	1.0
SMIM1	2.131	40.0	0.4869174041946783	1.0
LRRC47	3.547	190.0	0.03634298614311393	0.23728336473037373
RN7SL574P	0.491	9.0	0.9653323158307198	1.0
RP1-286D6.5	0.418	21.0	0.999826866126173	1.0
CEP104	2.43	548.0	0.9842792337480702	1.0
DFFB	1.792	386.0	0.9999994308904538	1.0
AL691523.1	1.528	10.0	0.4797549539214645	1.0
C1orf174	1.244	136.0	0.9999997850458505	1.0
RP13-15E13.1	0.0	232.0	1.0	1.0
RP13-614K11.1	0.0	256.0	1.0	1.0
RP13-614K11.2	0.0	35.0	0.9999999999708962	1.0
RP11-374C13.1	1.271	14.0	0.7777778891929147	1.0
RP5-1166F10.1	1.641	151.0	0.9995938038058806	1.0
RP1-37J18.1	0.001	11.0	0.9995074161002309	1.0
RP1-37J18.2	2.317	124.0	0.721348253524636	1.0
AJAP1	2.408	1433.0	0.9999902585853883	1.0
RP11-542C10.1	1.213	56.0	0.9987536229835569	1.0
RP1-58B11.1	1.889	35.0	0.648689625663168	1.0
MIR4417	1.325	9.0	0.5828895148191708	1.0
RP11-154H17.1	3.033	832.0	0.6350132901569516	1.0
AL356693.1	0.829	10.0	0.8972993600078307	1.0
MIR4689	0.22	14.0	0.9994224352651181	1.0
NPHP4	2.144	1158.0	0.9999999924156241	1.0
AL356261.1	0.0	16.0	0.9999847412109375	1.0
KCNAB2	1.839	911.0	0.9999999999999449	1.0
AL035406.1	0.0	6.0	0.984375	1.0
CHD5	4.054	562.0	0.014048690862485058	0.098716822303432
RPL22	3.13	227.0	0.18003359640015748	0.9482698122633693
RP1-120G22.11	0.87	14.0	0.9495769990562544	1.0
RNF207	2.985	106.0	0.13963896056187364	0.770431034434062
ICMT	3.221	109.0	0.06727307347453537	0.4129012444294703
LINC00337	2.147	18.0	0.25056692410857484	1.0
HES3	0.593	11.0	0.9716060520223274	1.0
GPR153	2.111	126.0	0.8902908861966738	1.0
ACOT7	5.028	1149.0	0.00028469427018140703	0.0023216928079910094
RP1-202O8.3	1.788	14.0	0.40915292244447665	1.0
HES2	2.744	105.0	0.2732233519332554	1.0
ESPN	4.699	281.0	0.00036725381393476475	0.0029785962537518204
MIR4252	2.775	12.0	0.032622829220097294	0.2153024864463134
RP1-202O8.2	4.699	33.0	4.313644272280204e-05	0.00036303630195510194
TNFRSF25	1.925	36.0	0.6282770069247325	1.0
PLEKHG5	3.359	411.0	0.14852399497208713	0.8106403498806679
NOL9	2.234	320.0	0.9834850615245937	1.0
RNU6-731P	1.472	10.0	0.5186675215380558	1.0
RP11-58A11.2	0.374	18.0	0.999618285542805	1.0
TAS1R1	1.078	200.0	0.9999999999999296	1.0
ZBTB48	0.957	65.0	0.9999941866020822	1.0
KLHL21	0.695	174.0	1.0	1.0
PHF13	2.069	84.0	0.804996923572979	1.0
THAP3	2.175	98.0	0.7683987024897522	1.0
DNAJC11	3.871	454.0	0.024304910362428767	0.16459294400399443
RP11-242F24.1	1.261	45.0	0.9927323069147961	1.0
snoU13	0.168	9.0	0.9939711208669035	1.0
RP11-312B8.1	0.529	10.0	0.971101258117223	1.0
CAMTA1	6.415	7512.0	5.289307059008763e-07	4.657423625540207e-06
RP11-312B8.2	2.555	10.0	0.05184316058318239	0.32736497559128375
RP11-334N17.1	1.232	76.0	0.9998445292970147	1.0
RNU1-8P	0.0	10.0	0.9990234375	1.0
CAMTA1-IT1	1.322	29.0	0.9411909986553735	1.0
RP3-453P22.2	1.796	73.0	0.9324709358657522	1.0
RP4-549F15.1	1.312	23.0	0.8987103233827283	1.0
RP11-338N10.1	1.647	7.0	0.3005248408937533	1.0
RP11-338N10.2	0.898	10.0	0.8700591947242742	1.0
RP11-338N10.3	1.58	16.0	0.6093450446568918	1.0
VAMP3	1.174	89.0	0.999988772540443	1.0
RP3-467L1.6	0.439	10.0	0.9818614128507919	1.0
PER3	2.203	496.0	0.998983253663654	1.0
RP3-467L1.4	2.166	150.0	0.8988086479748653	1.0
UTS2	0.908	81.0	0.9999999137744405	1.0
TNFRSF9	0.738	184.0	1.0	1.0
RP5-892F13.2	0.0	7.0	0.9921875	1.0
PARK7	1.054	235.0	0.9999999999999999	1.0
Y_RNA	0.323	11.0	0.9941481441437156	1.0
ERRFI1	1.785	132.0	0.9932252800682695	1.0
RP11-431K24.1	1.618	714.0	1.0	1.0
CTA-215D11.4	1.618	17.0	0.6025662406035925	1.0
RP11-431K24.2	1.583	39.0	0.8973991781907414	1.0
RNU1-7P	1.267	6.0	0.47762630113220306	1.0
RP11-431K24.3	1.587	91.0	0.9948510458356835	1.0
RP11-431K24.4	1.704	52.0	0.9046526136801372	1.0
RN7SL729P	1.168	7.0	0.5958647908180525	1.0
RNU6-991P	0.752	20.0	0.9940497842108093	1.0
SLC45A1	1.807	270.0	0.9999402892880566	1.0
Y_RNA	0.478	14.0	0.9951258950237943	1.0
RERE	3.948	2858.0	0.1065073250849552	0.6148986060083325
RP5-1115A15.1	0.737	62.0	0.9999999123415079	1.0
SNORA77	0.0	7.0	0.9921875	1.0
RP5-1115A15.2	0.448	9.0	0.971706238721147	1.0
RP4-633I8.1	0.0	11.0	0.99951171875	1.0
RP4-633I8.2	0.0	8.0	0.99609375	1.0
Y_RNA	0.0	8.0	0.99609375	1.0
RP4-633I8.3	0.005	13.0	0.9998714450659254	1.0
RP4-633I8.4	0.45	17.0	0.9987884924444086	1.0
RP11-185B14.1	0.0	6.0	0.984375	1.0
ENO1	1.784	133.0	0.9935495653748008	1.0
ENO1-IT1	1.784	26.0	0.6269222498411919	1.0
ENO1-AS1	0.0	11.0	0.99951171875	1.0
RNU6-304P	0.72	11.0	0.9480588215735763	1.0
HMGN2P17	0.885	22.0	0.9897832894478517	1.0
RP3-477M7.5	0.0	9.0	0.998046875	1.0
RP3-477M7.6	0.585	9.0	0.9475274134413535	1.0
CA6	2.552	328.0	0.8281730147928189	1.0
RN7SL451P	1.444	4.0	0.2659077337317691	1.0
SLC2A7	2.256	235.0	0.9418922769829033	1.0
SLC2A5	1.414	418.0	0.9999999999999987	1.0
SCARNA16	1.195	12.0	0.7724008503320379	1.0
GPR157	2.437	187.0	0.7508891322829097	1.0
MIR34A	1.398	9.0	0.5326963761708118	1.0
RP3-510D11.1	1.142	145.0	0.9999999970707661	1.0
RP3-510D11.2	0.97	90.0	0.9999999198589395	1.0
H6PD	3.733	345.0	0.03211375742971512	0.2122090001008813
Z98044.1	1.175	12.0	0.7843210737094535	1.0
SPSB1	2.929	802.0	0.744562830188032	1.0
RNA5SP40	2.049	16.0	0.2789278869437749	1.0
RP13-392I16.1	1.395	28.0	0.9075064080110959	1.0
SLC25A33	2.956	305.0	0.3785176438074088	1.0
RP13-15M17.1	0.007	9.0	0.9979464764575754	1.0
TMEM201	2.422	208.0	0.8004125942987192	1.0
PIK3CD	1.797	568.0	0.9999999991818924	1.0
C1orf200	0.85	19.0	0.9847670406193637	1.0
RP11-558F24.2	1.609	21.0	0.6869865053911786	1.0
RP11-558F24.4	1.754	130.0	0.9948476666697595	1.0
CLSTN1	1.596	828.0	1.0	1.0
RP11-558F24.6	0.0	17.0	0.9999923706054688	1.0
CTNNBIP1	1.951	478.0	0.999995718016439	1.0
RP11-84A14.5	1.188	20.0	0.9177541366119779	1.0
LZIC	2.463	156.0	0.6598614272191133	1.0
RP11-84A14.4	2.394	55.0	0.36886044633746407	1.0
NMNAT1	2.557	291.0	0.7856717696291488	1.0
RN7SKP269	1.2	7.0	0.5750248249504752	1.0
MIR5697	1.31	6.0	0.4509529970524959	1.0
RP11-807G9.2	0.977	18.0	0.9604586479625838	1.0
RBP7	2.403	134.0	0.6651098971068062	1.0
AL590639.1	0.055	4.0	0.9257918511604634	1.0
UBE4B	4.103	965.0	0.01948551994979153	0.1337087505093617
RP11-496H15.2	1.445	6.0	0.37046251512990624	1.0
PGAM1P11	1.833	12.0	0.33479644965858235	1.0
RNU6-828P	0.0	9.0	0.998046875	1.0
KIF1B	3.704	1231.0	0.12245951880458505	0.6916739318658035
MIR1273D	1.736	13.0	0.42192798567320733	1.0
RNU6-37P	0.0	4.0	0.9375	1.0
RN7SL731P	0.0	7.0	0.9921875	1.0
RN7SL721P	0.894	12.0	0.9149521849938714	1.0
PGD	2.207	143.0	0.8600421121023821	1.0
RP4-736L20.3	1.018	15.0	0.9191007110313321	1.0
APITD1	1.435	180.0	0.9999992902493784	1.0
APITD1-CORT	1.435	180.0	0.9999992902493784	1.0
CORT	1.06	25.0	0.979835719264334	1.0
DFFA	1.663	122.0	0.9975733193307551	1.0
RP5-1113E3.3	1.663	10.0	0.38954061756080005	1.0
PEX14	4.172	1200.0	0.01795327959729709	0.12403304567159518
RN7SL614P	0.0	13.0	0.9998779296875	1.0
CASZ1	3.375	1342.0	0.3906696495791542	1.0
RP4-734G22.3	1.337	123.0	0.9999915628846819	1.0
RP11-340B24.3	1.514	14.0	0.6098078417631609	1.0
C1orf127	3.319	354.0	0.14780396032225684	0.807700901421022
CFL1P6	1.537	3.0	0.175093367217671	0.9280009220488836
AL713997.1	0.0	5.0	0.96875	1.0
Y_RNA	0.732	2.0	0.41030545294640264	1.0
TARDBP	1.974	101.0	0.9156951556043764	1.0
MASP2	2.118	158.0	0.9343332947589631	1.0
RP4-635E18.8	1.168	13.0	0.8141066514061643	1.0
SRM	0.302	57.0	0.9999999999987018	1.0
EXOSC10	2.105	295.0	0.9947626645340434	1.0
RP4-635E18.7	2.105	43.0	0.5349160574474543	1.0
RP4-635E18.6	0.979	26.0	0.9904456880606138	1.0
MTOR	2.389	1197.0	0.9999610872103201	1.0
MTOR-AS1	2.048	43.0	0.5856332679846821	1.0
RNU6-537P	0.0	9.0	0.998046875	1.0
snoU13	1.896	12.0	0.29735172898157725	1.0
ANGPTL7	2.09	66.0	0.704647705722131	1.0
RNU6-291P	1.337	6.0	0.4344158013890842	1.0
RPL39P6	0.786	16.0	0.9795993399482867	1.0
UBIAD1	1.05	108.0	0.9999999644986576	1.0
UBE2V2P3	0.0	3.0	0.875	1.0
RP11-149P14.1	1.539	20.0	0.721411727899798	1.0
PTCHD2	2.491	457.0	0.946068264880665	1.0
RP1-69M21.2	1.823	37.0	0.7235413988410568	1.0
FBXO2	1.226	68.0	0.9996408928556078	1.0
FBXO44	1.711	93.0	0.9840782780570935	1.0
FBXO6	1.968	117.0	0.9453211968098799	1.0
MAD2L2	1.66	164.0	0.9997101029904798	1.0
DRAXIN	1.468	295.0	0.9999999996390485	1.0
AGTRAP	1.408	187.0	0.9999998152148397	1.0
C1orf167	3.846	282.0	0.01678672266446779	0.11665623028658496
RP11-56N19.5	3.354	55.0	0.02167050894913869	0.14765139517159262
MTHFR	3.586	210.0	0.034646381388620195	0.22715463197116878
CLCN6	2.472	411.0	0.9373633224687001	1.0
NPPA-AS1	1.905	89.0	0.9229479053105061	1.0
NPPA	1.218	37.0	0.9874599421214907	1.0
NPPB	0.0	26.0	0.9999999850988388	1.0
RP5-934G17.6	1.807	29.0	0.6481830793112429	1.0
RNU5E-1	1.355	64.0	0.997191051758145	1.0
RNU5E-4P	0.706	26.0	0.9992061184808322	1.0
KIAA2013	0.67	66.0	0.9999999949952556	1.0
PLOD1	2.687	425.0	0.7845073166685489	1.0
MFN2	1.539	284.0	0.9999999868637265	1.0
RP5-1077B9.5	0.282	11.0	0.9955672407350895	1.0
MIIP	1.419	123.0	0.9999537801449145	1.0
Y_RNA	0.04	7.0	0.9902663983658879	1.0
RN7SL649P	1.844	20.0	0.48453717516633665	1.0
TNFRSF8	1.927	509.0	0.999999105151278	1.0
RNU6-777P	0.088	13.0	0.9997053883990998	1.0
RP11-426M1.2		0.0	0.0	0.0
TNFRSF1B	3.871	356.0	0.019108969693465427	0.13139219762660093
MIR4632	1.043	11.0	0.8293225201073228	1.0
RP5-1118D24.2	1.977	11.0	0.2346746314021082	1.0
SNORA70	0.0	7.0	0.9921875	1.0
VPS13D	4.5	1647.0	0.005580348828494008	0.041031768104799
SNORA59A	0.735	9.0	0.9061413771571388	1.0
RP5-888M10.2	0.74	18.0	0.9908717906241762	1.0
DHRS3	2.383	399.0	0.9679559850168457	1.0
RNU6ATAC18P	0.797	5.0	0.6975658139412173	1.0
RP11-474O21.5	0.19	6.0	0.9637279561042797	1.0
AADACL4	1.083	250.0	1.0	1.0
RP11-474O21.2	0.73	16.0	0.9855626456649229	1.0
AADACL3	3.369	161.0	0.05893381494306149	0.36677536114935333
snoU13	1.488	13.0	0.6017717756653078	1.0
C1orf158	2.18	134.0	0.861201118808796	1.0
PRAMEF12		0.0	0.0	0.0
PRAMEF1		0.0	0.0	0.0
RP5-845O24.8		0.0	0.0	0.0
PRAMEF11		0.0	0.0	0.0
RP5-845O24.3		0.0	0.0	0.0
HNRNPCL1	0.75	10.0	0.9234600665437761	1.0
PRAMEF2	0.0	73.0	1.0	1.0
PRAMEF4	0.0	6.0	0.984375	1.0
PRAMEF10		0.0	0.0	0.0
PRAMEF7		0.0	0.0	0.0
RNU6-1072P		0.0	0.0	0.0
RP11-450I1.2		0.0	0.0	0.0
PRAMEF6		0.0	0.0	0.0
RP11-450I1.4		0.0	0.0	0.0
PRAMEF22		0.0	0.0	0.0
WI2-3308P17.2		0.0	0.0	0.0
PRAMEF23		0.0	0.0	0.0
RP13-221M14.6		0.0	0.0	0.0
PRAMEF25		0.0	0.0	0.0
RP13-221M14.2		0.0	0.0	0.0
RP13-221M14.3		0.0	0.0	0.0
RP13-221M14.4		0.0	0.0	0.0
HNRNPCP5	0.0	20.0	0.9999990463256836	1.0
WI2-2994D6.1	0.0	4.0	0.9375	1.0
PRAMEF26	0.0	1.0	0.5	1.0
PRAMEF3		0.0	0.0	0.0
RP11-248D7.2		0.0	0.0	0.0
PRAMEF5		0.0	0.0	0.0
RP11-219C24.8		0.0	0.0	0.0
RNU6-771P		0.0	0.0	0.0
PRAMEF8		0.0	0.0	0.0
RP11-219C24.6		0.0	0.0	0.0
PRAMEF9	0.0	1.0	0.5	1.0
RP11-219C24.10	0.0	1.0	0.5	1.0
PRAMEF13	0.0	7.0	0.9921875	1.0
PRAMEF18	0.0	7.0	0.9921875	1.0
PRAMEF16	0.0	5.0	0.96875	1.0
PRAMEF21	0.0	3.0	0.875	1.0
XX-FW84067D5.1		0.0	0.0	0.0
XX-FW84067D5.2		0.0	0.0	0.0
PRAMEF15		0.0	0.0	0.0
PRAMEF14	0.0	5.0	0.96875	1.0
PRAMEF19	0.0	8.0	0.99609375	1.0
PRAMEF17	0.0	12.0	0.999755859375	1.0
PRAMEF20		0.0	0.0	0.0
LRRC38	3.136	412.0	0.2973987159263095	1.0
RP4-597A16.2	1.812	46.0	0.8057328834477364	1.0
RP4-597A16.3	1.459	18.0	0.7408906838676828	1.0
PDPN	2.772	339.0	0.6115744309516689	1.0
RNA5SP41	1.35	11.0	0.6391875463946302	1.0
AL359771.1	1.35	8.0	0.5235438655753992	1.0
CTA-520D8.2	2.217	16.0	0.1929866090089426	0.9996602683310133
SCARNA11	0.527	10.0	0.9713858754323911	1.0
PRDM2	2.211	907.0	0.9999956458297937	1.0
RNU6-1265P	0.424	13.0	0.9951018664594483	1.0
RP11-344F13.1	1.301	14.0	0.7589403642290834	1.0
RP4-704D23.1	0.854	38.0	0.9997554400982283	1.0
KAZN	6.794	5297.0	2.8886153358165245e-08	2.5764649811984604e-07
TBCAP2	0.141	12.0	0.9991260089292993	1.0
TMEM51-AS1	2.188	341.0	0.9927266704439047	1.0
TMEM51	3.147	749.0	0.4609846485362029	1.0
C1orf195	1.844	80.0	0.9294024876966844	1.0
RP1-21O18.3	1.18	24.0	0.952200810723589	1.0
FHAD1	5.201	1448.0	0.00014350034013754787	0.001183596533194372
RP3-467K16.2	1.418	151.0	0.9999953485909868	1.0
RP3-467K16.7	1.133	19.0	0.9268749676395751	1.0
RP3-467K16.4	1.882	71.0	0.8842823949863542	1.0
EFHD2	2.304	213.0	0.8969240281990237	1.0
CTRC	0.406	33.0	0.9999990151614989	1.0
CELA2A	1.803	146.0	0.9950413458974771	1.0
CELA2B	1.803	258.0	0.9999153896041113	1.0
CASP9	1.797	340.0	0.9999963651615674	1.0
DNAJC16	1.95	610.0	0.9999998641735717	1.0
SCARNA21	0.793	13.0	0.956218464377101	1.0
RP4-680D5.8	0.0	8.0	0.99609375	1.0
AGMAT	1.948	135.0	0.9702789171018266	1.0
RP4-680D5.2	1.95	238.0	0.9979071498712407	1.0
CHCHD2P6	1.271	14.0	0.7777778891929147	1.0
RNU7-179P	1.427	7.0	0.42838492521318716	1.0
RP4-680D5.4	1.387	6.0	0.4043254537190031	1.0
DDI2	1.873	429.0	0.9999983310591571	1.0
RSC1A1	0.788	24.0	0.9970334930030519	1.0
RP4-680D5.9	0.297	11.0	0.9950871846055463	1.0
PLEKHM2	2.355	416.0	0.9791556931559967	1.0
AL121992.1	0.0	5.0	0.96875	1.0
RP11-288I21.1	2.355	133.0	0.7098912058300668	1.0
SLC25A34	1.185	55.0	0.998998765205163	1.0
RP11-169K16.4	1.187	115.0	0.9999994366857108	1.0
TMEM82	0.776	70.0	0.9999999690644835	1.0
