chrom	start	end	gene_name	fg_pleio_degree	pleio_degree	pleio_degree_maxindep	pleio_degree_locuswide
1	169337208.0	169365778.0	BLZF1	1.0			
1	169364108.0	169429907.0	CCDC181	2.0			
1	169433147.0	169455241.0	SLC19A2	1.0			
1	169455380.0	169456846.0	AL021068.1	1.0			
1	169483404.0	169555826.0	F5	7.0			
1	169659808.0	169680839.0	SELL	2.0	1.0		1.0
1	170338364.0	170339508.0	HAUS4P1	1.0	1.0		1.0
1	170631869.0	170708560.0	PRRX1	1.0	2.0	1.0	2.0
1	171604557.0	171621823.0	MYOC	1.0	1.0	1.0	2.0
1	171669300.0	171711387.0	VAMP4	1.0			2.0
1	171810621.0	172387606.0	DNM3	6.0	5.0	3.0	8.0
1	172389828.0	172437971.0	C1orf105	1.0	4.0	2.0	6.0
1	172501489.0	172580971.0	SUCO	1.0	1.0		1.0
1	172628154.0	172636014.0	FASLG	1.0	1.0	1.0	1.0
1	172717700.0	172718642.0	SLC25A38P1	2.0			1.0
1	173152873.0	173176452.0	TNFSF4	1.0	1.0	1.0	1.0
1	173469603.0	173572233.0	SLC9C2	1.0			
1	173684080.0	173755840.0	KLHL20	1.0			
1	173793641.0	173827684.0	DARS2	2.0			
1	173900352.0	173991435.0	RC3H1	2.0			1.0
1	174128548.0	174964445.0	RABGAP1L	4.0			
1	175013762.0	175014784.0	SDCCAG3P2	1.0			
1	175036994.0	175117202.0	TNN	1.0			
1	175126123.0	175162135.0	KIAA0040	1.0			
1	176432307.0	176814735.0	PAPPA2	2.0	3.0	2.0	3.0
1	176826438.0	177134109.0	ASTN1	1.0	1.0		3.0
1	177893091.0	177953438.0	SEC16B	1.0	5.0	1.0	5.0
1	178062864.0	178448644.0	RASAL2	1.0			
1	179262925.0	179327815.0	SOAT1	2.0	1.0		1.0
1	179334855.0	179523870.0	AXDND1	1.0			
1	179560748.0	179660407.0	TDRD5	1.0			
1	182992595.0	183114727.0	LAMC1	1.0	1.0		1.0
1	183898796.0	184006863.0	COLGALT2	2.0	1.0		2.0
1	184356192.0	184598154.0	C1orf21	1.0			
1	185014496.0	185071740.0	RNF2	1.0			
1	192286122.0	192336415.0	RGS21	1.0			
1	196194909.0	196578355.0	KCNT2	1.0	1.0	1.0	1.0
1	196621008.0	196716634.0	CFH	1.0	1.0	1.0	1.0
1	196946667.0	196978804.0	CFHR5	1.0			
1	197170592.0	197447585.0	CRB1	2.0	1.0	1.0	2.0
1	197473878.0	197744826.0	DENND1B	1.0	1.0	1.0	1.0
1	197881037.0	197904608.0	LHX9	1.0			
1	198126093.0	198291550.0	NEK7	1.0			
1	198607801.0	198726545.0	PTPRC	2.0	3.0	2.0	3.0
1	198776622.0	198906558.0	MIR181A1HG	2.0	2.0	1.0	3.0
1	199996730.0	200146552.0	NR5A2	1.0			
1	200708686.0	200829832.0	CAMSAP2	2.0			
1	200890122.0	200935658.0	MROH3P	2.0			
1	201008642.0	201081694.0	CACNA1S	3.0	2.0	1.0	2.0
1	201083081.0	201096312.0	ASCL5	1.0			
1	201434620.0	201438365.0	PHLDA3	1.0			
1	201487831.0	201499602.0	RPS10P7	2.0			
1	201592411.0	201796102.0	NAV1	1.0			2.0
1	201865580.0	201915715.0	LMOD1	1.0	1.0		2.0
1	202163029.0	202288909.0	LGR6	1.0			
1	202559724.0	202679545.0	SYT2	1.0			
1	202696526.0	202778598.0	KDM5B	1.0			
1	202995626.0	203047868.0	PPFIA4	2.0			
1	203059782.0	203136533.0	ADORA1	1.0			
1	204187979.0	204346793.0	PLEKHA6	1.0			
1	204391756.0	204463852.0	PIK3C2B	1.0			
1	204485511.0	204542871.0	MDM4	1.0			
1	204586298.0	204654861.0	LRRN2	1.0			
1	205055270.0	205091143.0	RBBP5	2.0			6.0
1	205111632.0	205180727.0	DSTYK	1.0	3.0	1.0	8.0
1	205197304.0	205242471.0	TMCC2	1.0	7.0	4.0	7.0
1	205342380.0	205356568.0	LEMD1-AS1	1.0			2.0
1	206516200.0	206637783.0	SRGAP2	1.0			1.0
1	206643791.0	206670223.0	IKBKE	1.0	1.0		1.0
1	206940947.0	206945839.0	IL10	1.0			
1	206972215.0	207016324.0	IL19	1.0			
1	207262187.0	207273338.0	C4BPB	1.0	1.0	1.0	1.0
1	207494853.0	207534311.0	CD55	1.0			
1	207669492.0	207813992.0	CR1	2.0			
1	207925402.0	207968858.0	CD46	1.0			2.0
1	211649864.0	211666259.0	RD3	1.0	1.0		1.0
1	211916799.0	212004114.0	LPGAT1	1.0			1.0
1	214156524.0	214214595.0	PROX1	1.0	7.0	5.0	6.0
1	214454445.0	214510474.0	SMYD2	1.0	1.0	1.0	
1	214522039.0	214725792.0	PTPN14	1.0	1.0		1.0
1	218458629.0	218511325.0	RRP15	1.0			2.0
1	218519577.0	218617961.0	TGFB2	8.0	3.0	1.0	3.0
1	218683438.0	218699320.0	C1orf143	2.0			
1	219782859.0	219786462.0	ZC3H11B	2.0	3.0		4.0
1	219858769.0	220131989.0	SLC30A10	6.0	4.0	3.0	4.0
1	220701568.0	220837803.0	MARK1	1.0			
1	220960101.0	220987735.0	MARC1	1.0	6.0	9.0	9.0
1	221051699.0	221058401.0	HLX	1.0	5.0	5.0	7.0
1	222695602.0	222721445.0	HHIPL2	1.0			
1	222791428.0	222841354.0	MIA3	1.0			
1	222841355.0	222886552.0	AIDA	1.0			
1	222910549.0	222924147.0	FAM177B	2.0			
1	222988406.0	223179337.0	DISP1	1.0			
1	223889295.0	223963720.0	CAPN2	1.0			
1	226548392.0	226595780.0	PARP1	1.0	1.0		1.0
1	227177566.0	227506175.0	CDC42BPA	1.0	2.0	1.0	3.0
1	227751244.0	227865144.0	ZNF678	1.0	2.0	1.0	2.0
1	227916240.0	227968927.0	SNAP47	1.0	1.0		1.0
1	228194752.0	228248961.0	WNT3A	1.0			1.0
1	228270361.0	228286912.0	ARF1	1.0			
1	228395831.0	228566577.0	OBSCN	1.0			
1	231762561.0	232177018.0	DISC1	1.0			1.0
1	234040679.0	234460262.0	SLC35F3	1.0			
1	235710987.0	235814054.0	GNG4	1.0			1.0
1	236511562.0	236648214.0	EDARADD	1.0			
1	240177648.0	240638489.0	FMN2	1.0	2.0	2.0	2.0
1	240652873.0	240775449.0	GREM2	1.0			
1	242011269.0	242058450.0	EXO1	1.0			
1	243287730.0	243418650.0	CEP170	1.0	1.0		2.0
1	243419320.0	243663394.0	SDCCAG8	1.0	3.0	1.0	4.0
1	245318287.0	245872733.0	KIF26B	1.0			
1	247670360.0	247740992.0	GCSAML	2.0	4.0	2.0	4.0
1	248246936.0	248247898.0	OR2T32P	1.0			
10	1095478.0	1178237.0	WDR37	1.0	2.0	2.0	2.0
10	6052652.0	6104288.0	IL2RA	5.0	2.0	1.0	2.0
10	6130950.0	6159420.0	RBM17	1.0			2.0
10	6186881.0	6277495.0	PFKFB3	1.0			
10	6469105.0	6622263.0	PRKCQ	2.0			
10	7601232.0	7708961.0	ITIH5	1.0			
10	8092413.0	8095447.0	GATA3-AS1	1.0			3.0
10	8095567.0	8117161.0	GATA3	1.0	3.0	3.0	3.0
10	8698679.0	8698794.0	RNA5SP299	1.0			
10	11047259.0	11378674.0	CELF2	2.0	1.0	1.0	1.0
10	11891612.0	11936699.0	PROSER2-AS1	1.0	2.0	1.0	2.0
10	13319796.0	13344412.0	PHYH	2.0			
10	13685706.0	14504141.0	FRMD4A	1.0	1.0		1.0
10	14560556.0	14816896.0	FAM107B	1.0	1.0		1.0
10	16865963.0	17171830.0	CUBN	1.0	1.0		3.0
10	18098352.0	18200091.0	MRC1	1.0			1.0
10	18240768.0	18332221.0	SLC39A12	1.0	1.0		1.0
10	18429606.0	18830798.0	CACNB2	3.0	2.0		2.0
10	18834490.0	18940551.0	NSUN6	1.0			
10	20105168.0	20578785.0	PLXDC2	1.0	1.0	1.0	1.0
10	21068902.0	21463116.0	NEBL	2.0			
10	21610890.0	21610996.0	RNU6-15P	1.0			
10	21682962.0	21683521.0	RNMTL1P1	1.0			
10	21802407.0	21814611.0	SKIDA1	1.0			4.0
10	21823094.0	22032559.0	MLLT10	6.0	4.0	2.0	5.0
10	22045466.0	22292698.0	DNAJC1	3.0	4.0	1.0	4.0
10	22634399.0	22743153.0	SPAG6	1.0			
10	22823778.0	23003484.0	PIP4K2A	2.0			
10	23983675.0	24836772.0	KIAA1217	1.0			1.0
10	25463991.0	25891155.0	GPR158	1.0	1.0	1.0	1.0
10	27961804.0	28034989.0	MKX	1.0	1.0		
10	28064115.0	28287977.0	ARMC4	2.0	1.0		1.0
10	28956848.0	28956954.0	RNU6-1067P	1.0			2.0
10	28966271.0	28971868.0	BAMBI	1.0	1.0		1.0
10	30722866.0	30750762.0	MAP3K8	1.0			
10	32556679.0	32667726.0	EPC1	2.0	1.0		1.0
10	34398488.0	35104253.0	PARD3	1.0	1.0	1.0	1.0
10	43572475.0	43625799.0	RET	1.0			
10	45950035.0	46090354.0	MARCH8	1.0	5.0	3.0	5.0
10	46201879.0	46222679.0	FAM21FP	1.0	2.0	2.0	6.0
10	50222290.0	50323554.0	VSTM4	2.0	4.0	1.0	5.0
10	50887697.0	50918307.0	C10orf53	1.0			
10	51549498.0	51562517.0	MSMB	1.0	1.0		2.0
10	52750945.0	54058110.0	PRKG1	2.0	2.0	1.0	3.0
10	54525140.0	54531460.0	MBL2	1.0			
10	55562531.0	57387702.0	PCDH15	1.0			
10	60272900.0	60591195.0	BICC1	4.0	3.0	2.0	3.0
10	61410523.0	61495760.0	SLC16A9	1.0	1.0		1.0
10	63661059.0	63856703.0	ARID5B	5.0	3.0	2.0	3.0
10	63942794.0	64028466.0	RTKN2	1.0			
10	64133951.0	64431771.0	ZNF365	5.0	1.0	1.0	1.0
10	64417945.0	64418012.0	AC067751.1	5.0			1.0
10	64571756.0	64679660.0	EGR2	1.0	2.0	2.0	3.0
10	64893050.0	64914783.0	NRBF2	1.0	6.0	3.0	9.0
10	64926981.0	65225722.0	JMJD1C	4.0	10.0	7.0	11.0
10	65281123.0	65384883.0	REEP3	2.0	8.0	6.0	8.0
10	67672276.0	69455927.0	CTNNA3	1.0			
10	69556427.0	69597924.0	DNAJC12	1.0			
10	70980059.0	71027315.0	HKDC1	1.0	4.0	3.0	6.0
10	71211229.0	71267425.0	TSPAN15	1.0	2.0	1.0	2.0
10	71561644.0	71724031.0	COL13A1	1.0			
10	72972327.0	73062621.0	UNC5B	1.0			
10	73724123.0	73773322.0	CHST3	2.0			
10	73856278.0	73976892.0	ASCC1	1.0			
10	74092588.0	74114988.0	DNAJB12	1.0			
10	75404639.0	75423561.0	SYNPO2L	1.0			
10	75434033.0	75457639.0	AGAP5	1.0			
10	75572259.0	75634343.0	CAMK2G	1.0			
10	75668935.0	75677255.0	PLAU	1.0			
10	75757872.0	75879918.0	VCL	1.0			1.0
10	75881524.0	75910821.0	AP3M1	1.0	1.0	1.0	1.0
10	75910960.0	76469061.0	ADK	2.0	1.0	2.0	1.0
10	76585340.0	76792380.0	KAT6B	1.0			
10	79550549.0	79686378.0	DLG5	2.0	2.0	3.0	2.0
10	80828792.0	81076276.0	ZMIZ1	5.0	6.0	4.0	9.0
10	81142081.0	81205383.0	ZCCHC24	2.0	4.0	1.0	5.0
10	81910645.0	81965328.0	ANXA11	1.0			
10	82031576.0	82049440.0	MAT1A	1.0			
10	87359312.0	88126250.0	GRID1	2.0			
10	88810243.0	88854623.0	GLUD1	1.0			1.0
10	89264632.0	89313217.0	MINPP1	1.0			
10	90033621.0	90344287.0	RNLS	1.0	1.0	1.0	1.0
10	90750414.0	90775542.0	FAS	1.0			
10	90973326.0	91174314.0	LIPA	1.0	1.0	1.0	1.0
10	93806449.0	94050844.0	CPEB3	1.0			
10	94590935.0	94819250.0	EXOC6	1.0	4.0	3.0	8.0
10	95753746.0	96092580.0	PLCE1	4.0	7.0	2.0	7.0
10	96075004.0	96122716.0	NOC3L	2.0	1.0		5.0
10	97071528.0	97321171.0	SORBS1	3.0	1.0	1.0	1.0
10	97512963.0	97849995.0	ENTPD1-AS1	3.0	2.0		3.0
10	99624757.0	99790585.0	CRTAC1	1.0	1.0		1.0
10	100007447.0	100028007.0	LOXL4	2.0	1.0		1.0
10	100218875.0	100995619.0	HPSE2	1.0	1.0		1.0
10	101635334.0	101769676.0	DNMBP	1.0	1.0	1.0	2.0
10	101909851.0	101948091.0	ERLIN1	1.0	2.0	3.0	3.0
10	102106881.0	102124591.0	SCD	2.0	1.0	1.0	4.0
10	102849078.0	102890883.0	TLX1NB	1.0			1.0
10	102989351.0	103029905.0	LBX1-AS1	1.0			
10	103113820.0	103317078.0	BTRC	1.0			
10	104005289.0	104142656.0	GBF1	1.0	1.0	1.0	1.0
10	104238986.0	104262482.0	ACTR1A	1.0			1.0
10	104263744.0	104393292.0	SUFU	2.0	2.0	1.0	2.0
10	104678050.0	104849978.0	CNNM2	2.0	3.0	1.0	6.0
10	104845940.0	104953056.0	NT5C2	1.0	4.0	2.0	6.0
10	105348285.0	105615301.0	SH3PXD2A	5.0	1.0		2.0
10	105726959.0	105788991.0	SLK	2.0			
10	105791044.0	105845760.0	COL17A1	4.0			
10	106400859.0	107024993.0	SORCS3	3.0			
10	112193999.0	112194143.0	AL355512.1	1.0			
10	114710009.0	114927437.0	TCF7L2	2.0	5.0	2.0	5.0
10	115113184.0	115113243.0	RNU7-165P	1.0	1.0		1.0
10	115438942.0	115490662.0	CASP7	1.0			
10	115939029.0	115992063.0	TDRD1	1.0			
10	119301955.0	119309056.0	EMX2	1.0			
10	119805790.0	119969663.0	CASC2	1.0			
10	120116620.0	120124615.0	LINC00867	1.0			
10	120967101.0	121215131.0	GRK5	1.0	3.0	1.0	3.0
10	121410882.0	121437331.0	BAG3	1.0	2.0		2.0
10	121485609.0	121588652.0	INPP5F	1.0	1.0		1.0
10	122610687.0	122669036.0	WDR11	1.0			
10	123170430.0	123170714.0	RN7SKP167	1.0			
10	123237848.0	123357972.0	FGFR2	4.0			1.0
10	124030821.0	124097677.0	BTBD16	2.0			1.0
10	124134212.0	124191867.0	PLEKHA1	1.0	2.0	1.0	2.0
10	124214169.0	124216868.0	ARMS2	1.0			2.0
