gene	score	length	avg_score
ABHD14B	249.242	809	0.30808652657601976
ABHD15	502.082	1411	0.3558341601700921
ABHD16A	556.815	2070	0.2689927536231884
ABHD16B	419.346	1078	0.38900371057513916
ABHD17A	258.62	1144	0.22606643356643358
ABHD17B	185.098	916	0.20207205240174675
ABHD17C	345.313	1003	0.3442801595214357
ABHD2	361.126	1176	0.3070799319727891
ABHD3	384.868	1400	0.2749057142857143
ABHD4	418.006	1107	0.37760252935862687
ABHD5	380.064	1070	0.3552
ABHD6	387.366	1088	0.3560349264705882
ABHD8	362.27	1302	0.27824116743471583
ABI1	281.054	1744	0.16115481651376146
ABI2	453.28	2080	0.2179230769230769
ABI3	386.321	1159	0.33332269197584125
ABI3BP	2259.154	5906	0.38251845580765326
ABL1	1022.645	3605	0.2836740638002774
ABL2	1107.155	3780	0.29289814814814813
ABLIM1	632.747	2731	0.23169058952764554
ABLIM2	659.336	2172	0.30356169429097607
ABLIM3	515.574	2325	0.22175225806451612
ABR	782.144	3391	0.230652904747862
ABRA	401.156	1150	0.3488313043478261
ABRACL	80.644	258	0.31257364341085275
ABT1	308.495	823	0.37484204131227217
ABTB1	431.121	1388	0.3106059077809798
ABTB2	973.273	3158	0.3081928435718809
AC000003.2	2.268	376	0.006031914893617021
AC002310.13	39.111	197	0.19853299492385784
AC002451.1	28.128	425	0.06618352941176471
AC002472.1	0.898	196	0.0045816326530612244
AC002472.13	425.063	1200	0.35421916666666664
AC002553.1	6.058	102	0.0593921568627451
AC002985.3	93.415	230	0.4061521739130435
AC003002.4	0.606	159	0.003811320754716981
AC003002.6	24.902	504	0.04940873015873016
AC003005.4	6.248	17	0.3675294117647059
AC003006.7	27.946	414	0.0675024154589372
AC003043.1	2.166	65	0.03332307692307692
AC003101.1	33.935	524	0.0647614503816794
AC003102.1	0.864	124	0.006967741935483871
AC004017.1	19.231	259	0.07425096525096525
AC004076.7	41.295	218	0.18942660550458718
AC004076.9	44.008	212	0.20758490566037738
AC004381.6	873.043	2301	0.37941894828335504
AC004466.1	43.353	433	0.10012240184757507
AC004528.1	0.054	88	0.0006136363636363636
AC004817.1	68.544	436	0.1572110091743119
AC004824.2	8.871	343	0.025862973760932946
AC004899.1	114.913	419	0.27425536992840094
AC005003.1	100.74	396	0.2543939393939394
AC005008.2	37.731	373	0.10115549597855228
AC005082.1	6.892	262	0.026305343511450384
AC005477.1	1.736	387	0.004485788113695091
AC005481.5	1.636	372	0.004397849462365591
AC005488.1	13.949	80	0.1743625
AC005493.1	0.14500000000000002	93	0.0015591397849462367
AC005544.1	49.671	648	0.07665277777777778
AC005549.3	7.088	91	0.07789010989010989
AC005606.1	3.478	135	0.025762962962962963
AC005609.1	141.925	576	0.24639756944444446
AC005841.1	251.785	944	0.26672139830508473
AC006014.1	30.101	80	0.3762625
AC006116.20	137.589	764	0.18009031413612564
AC006126.3	27.443	283	0.09697173144876325
AC006132.1	12.767	186	0.06863978494623656
AC006372.1	76.86	489	0.15717791411042945
AC006435.1	46.868	475	0.09866947368421053
AC006449.1	18.262	363	0.050308539944903585
AC006455.1	159.624	444	0.3595135135135135
AC006486.1	98.563	453	0.21757836644591613
AC006486.9	1.0	65	0.015384615384615385
AC006538.4	7.191	66	0.10895454545454546
AC006547.14	282.913	1141	0.24795179666958808
AC006946.15	20.382	422	0.04829857819905214
AC006967.1	13.387	411	0.03257177615571776
AC007040.11	116.905	648	0.18040895061728396
AC007204.1	24.426	237	0.1030632911392405
AC007216.2	12.431	148	0.08399324324324324
AC007375.1	77.121	439	0.17567425968109338
AC007377.1	3.074	52	0.05911538461538461
AC007382.1	16.082	206	0.07806796116504855
AC007390.5	81.175	254	0.3195866141732283
AC007401.2	0.23700000000000002	247	0.0009595141700404859
AC007405.2	7.024	815	0.00861840490797546
AC007421.1	7.9159999999999995	12	0.6596666666666666
AC007431.1	160.996	459	0.3507538126361656
AC007461.1	2.319	177	0.013101694915254238
AC007557.1	44.135	302	0.14614238410596025
AC007773.3	0.005	119	4.201680672268908e-05
AC007919.2	8.785	257	0.034182879377431905
AC007952.1	0.147	60	0.00245
AC007952.5	11.201	621	0.01803703703703704
AC007952.6	8.844	586	0.015092150170648463
AC007956.1	52.393	408	0.1284142156862745
AC008060.7	1.3639999999999999	324	0.004209876543209876
AC008132.1	2.173	354	0.006138418079096045
AC008132.13	81.924	1386	0.05910822510822511
AC008267.1	16.012	132	0.1213030303030303
AC008271.1	12.761	396	0.032224747474747475
AC008372.1	1.316	45	0.029244444444444444
AC008387.1	0.382	45	0.00848888888888889
AC008394.1	36.146	467	0.07740042826552462
AC008443.1	90.644	436	0.20789908256880735
AC008498.1	18.043	222	0.08127477477477477
AC008686.1	12.293	402	0.03057960199004975
AC008914.1	1.732	72	0.024055555555555556
AC008948.1	3.527	271	0.013014760147601476
AC008964.1	2.525	204	0.012377450980392156
AC009041.2	4.561	56	0.08144642857142857
AC009065.1	89.933	394	0.228256345177665
AC009365.3	58.26	455	0.12804395604395605
AC009403.2	6.473	216	0.02996759259259259
AC009802.1	27.242	95	0.2867578947368421
AC009892.10	0.846	213	0.0039718309859154925
AC010327.2	2.29	534	0.004288389513108615
AC010368.2	0.129	54	0.0023888888888888887
AC010441.1	33.2	422	0.07867298578199053
AC010536.1	22.082	876	0.025207762557077625
AC010547.9	57.241	177	0.3233954802259887
AC010760.1	1.595	30	0.05316666666666667
AC011239.1	12.496	335	0.037301492537313435
AC011294.3	0.945	346	0.00273121387283237
AC011298.1	8.5	130	0.06538461538461539
AC011366.3	11.403	110	0.10366363636363637
AC011475.1	1.082	82	0.013195121951219514
AC011500.1	92.38	470	0.1965531914893617
AC011530.4	18.859	62	0.3041774193548387
AC011551.3	24.693	379	0.06515303430079156
AC011755.1	2.758	380	0.0072578947368421055
AC011897.1	53.173	449	0.11842538975501114
AC011997.1	12.344	201	0.06141293532338308
AC012123.1	142.238	632	0.22506012658227847
AC012215.1	36.831	423	0.0870709219858156
AC012313.1	229.352	960	0.23890833333333333
AC012360.1	0.636	16	0.03975
AC012360.2	4.814	93	0.05176344086021505
AC012414.1	5.297	678	0.00781268436578171
AC012485.1	0.039	99	0.00039393939393939396
AC012493.2	126.729	300	0.42242999999999997
AC013269.5	63.899	466	0.1371223175965665
AC013449.1	190.827	405	0.47117777777777775
AC013468.1	0.117	48	0.0024375
AC013469.1	2.434	58	0.04196551724137931
AC015660.1	0.352	133	0.002646616541353383
AC015688.3	19.462	251	0.07753784860557769
AC015987.2	96.55199999999999	252	0.3831428571428571
AC015989.1	2.793	82	0.0340609756097561
AC015989.2	14.422	306	0.04713071895424837
AC016251.1	41.155	386	0.10661917098445596
AC016559.1	5.517	206	0.026781553398058253
AC016586.1	27.18	413	0.06581113801452784
AC016722.1	7.537	396	0.019032828282828283
AC016722.2	4.748	193	0.024601036269430054
AC016745.1	125.985	435	0.2896206896551724
AC016757.3	2.535	464	0.005463362068965518
AC016885.1	46.399	471	0.09851167728237792
AC017028.1	0.999	270	0.0037
AC017104.2	1.541	347	0.004440922190201729
AC018445.1	8.148	243	0.03353086419753086
AC018470.1	489.979	1550	0.3161154838709677
AC018512.1	6.1370000000000005	48	0.12785416666666669
AC018630.1	2.263	187	0.012101604278074865
AC018755.1	19.122	796	0.024022613065326635
AC018816.3	23.462	274	0.08562773722627737
AC018867.1	0.395	59	0.006694915254237288
AC018867.2	22.989	142	0.16189436619718311
AC019171.1	227.768	719	0.31678442280945757
AC019206.1	82.556	192	0.42997916666666663
AC019294.1	149.486	618	0.24188673139158576
AC020629.1	2.015	137	0.014708029197080292
AC020907.1	54.37	444	0.12245495495495495
AC020922.1	1.352	387	0.0034935400516795867
AC020952.1	89.498	655	0.1366381679389313
AC021218.2	0.85	898	0.0009465478841870823
AC021860.1	18.909	540	0.03501666666666666
AC022210.1	0.357	77	0.004636363636363636
AC022400.2	99.095	441	0.22470521541950114
AC022431.2	11.352	392	0.028959183673469387
AC022498.1	12.721	377	0.03374270557029178
AC022819.2	4.599	83	0.05540963855421687
AC023469.1	34.323	299	0.11479264214046823
AC023590.1	5.4670000000000005	109	0.0501559633027523
AC023632.1	6.741	245	0.027514285714285713
AC024257.1	124.321	451	0.27565631929046563
AC024580.1	400.406	717	0.5584463040446304
AC024592.12	72.155	203	0.35544334975369457
AC024940.1	112.296	478	0.23492887029288703
AC025262.1	19.03	145	0.13124137931034482
AC025263.3	0.0	18	0.0
AC025278.1	80.087	243	0.3295761316872428
AC025287.1	71.149	481	0.14791891891891892
AC026202.1	237.288	753	0.3151235059760956
AC026310.1	26.157	744	0.03515725806451613
AC026369.1	27.694	129	0.21468217054263566
AC026407.1	26.521	108	0.24556481481481482
AC026461.1	0.012	67	0.0001791044776119403
AC026703.1	10.254	366	0.02801639344262295
AC026740.1	20.819	755	0.027574834437086092
AC027228.1	3.245	249	0.013032128514056225
AC027307.3	17.821	435	0.040967816091954025
AC027309.1	5.648	191	0.02957068062827225
AC027763.2	25.095	511	0.049109589041095886
AC037199.1	0.001	43	2.3255813953488374e-05
AC037459.4	195.99	898	0.21825167037861917
AC040160.1	197.419	565	0.3494141592920354
AC040977.1	9.214	151	0.06101986754966888
AC051642.1	0.127	56	0.002267857142857143
AC055736.1	28.299	66	0.42877272727272725
AC061975.10	22.16	142	0.156056338028169
AC061992.1	63.83	424	0.1505424528301887
AC062017.1	6.748	400	0.01687
AC064874.1	0.394	351	0.0011225071225071225
AC068039.1	4.4959999999999996	67	0.06710447761194029
AC068533.7	114.171	357	0.3198067226890757
AC068620.1	182.476	453	0.4028167770419426
AC068987.1	101.625	385	0.26396103896103895
AC069368.3	247.416	714	0.34652100840336136
AC069547.1	0.218	219	0.0009954337899543378
AC069547.2	1.927	390	0.004941025641025641
AC073063.1	27.788	60	0.46313333333333334
AC073188.1	203.087	444	0.4574031531531531
AC073342.1	25.248	207	0.12197101449275363
AC073343.1	273.263	1448	0.18871754143646408
AC073528.1	11.661999999999999	46	0.25352173913043474
AC073569.1	0.028999999999999998	21	0.001380952380952381
AC073610.5	4.79	22	0.21772727272727274
AC073657.1	9.454	181	0.05223204419889503
AC074091.13	142.281	582	0.24446907216494845
AC074212.3	457.777	1951	0.23463710917478214
AC074389.6	27.857	599	0.04650584307178631
AC078925.1	179.756	508	0.3538503937007874
AC079210.1	49.767	406	0.12257881773399015
AC079341.1	6.664	298	0.02236241610738255
AC079354.1	911.181	3626	0.2512909542195257
AC079354.2	66.434	142	0.4678450704225352
AC079602.1	22.617	403	0.05612158808933003
AC079612.1	4.024	602	0.006684385382059801
AC083862.1	21.996	119	0.18484033613445378
AC084121.16	15.439	838	0.0184236276849642
AC087239.1	0.42	112	0.00375
AC087477.1	33.873	417	0.08123021582733812
AC087645.1	130.277	983	0.13253001017293997
AC090186.1	3.935	94	0.04186170212765958
AC090427.1	105.66	290	0.3643448275862069
AC090574.1	9.439	214	0.044107476635514016
AC090616.2	117.706	430	0.27373488372093024
AC090673.2	1.091	213	0.00512206572769953
AC091150.1	72.393	546	0.1325879120879121
AC091801.1	39.488	579	0.06820034542314335
AC091948.1	15.472	123	0.12578861788617887
AC092291.2	33.3	210	0.15857142857142856
AC092384.1	0.428	48	0.008916666666666666
AC092675.3	6.016	249	0.024160642570281124
AC092687.4	23.534	307	0.07665798045602605
AC092782.1	2.087	63	0.03312698412698413
AC092811.1	1.361	356	0.0038230337078651684
AC092850.1	47.291	642	0.0736619937694704
AC092964.1	2.0380000000000003	217	0.009391705069124425
AC092964.2	8.918	249	0.035815261044176705
AC093157.1	5.341	188	0.02840957446808511
AC093323.1	8.034	408	0.019691176470588236
AC093677.1	28.781	757	0.038019815059445176
AC093802.1	0.429	183	0.0023442622950819673
AC096582.1	54.697	514	0.10641439688715953
AC096644.1	9.216000000000001	157	0.05870063694267517
AC096677.1	231.861	727	0.31892847317744155
AC097381.1	33.953	826	0.04110532687651332
AC099344.1	11.829	41	0.28851219512195125
AC099552.4	24.563	236	0.10408050847457627
AC102948.2	1.808	174	0.010390804597701149
AC103809.2	104.35	268	0.38936567164179103
AC104057.1	261.563	903	0.2896600221483942
AC104472.1	14.17	385	0.036805194805194806
AC104532.2	81.814	195	0.4195589743589743
AC104534.3	139.104	586	0.2373788395904437
AC104667.3	1.335	279	0.0047849462365591395
AC104794.4	1.016	321	0.003165109034267913
AC104809.3	1142.255	4508	0.253383984028394
AC104841.2	0.623	247	0.002522267206477733
AC105020.1	1.136	376	0.0030212765957446804
AC106017.1	8.441	410	0.02058780487804878
AC106873.4	1.151	162	0.007104938271604938
AC106876.2	3.173	287	0.011055749128919861
AC107021.1	2.621	209	0.01254066985645933
AC108868.1	0.148	45	0.003288888888888889
AC109583.1	0.514	92	0.005586956521739131
AC109829.1	207.094	791	0.2618128950695322
AC110084.1	9.014	63	0.14307936507936506
AC110615.1	64.612	237	0.27262447257383965
AC110619.2	0.843	771	0.001093385214007782
AC110771.1	0.511	736	0.0006942934782608696
AC110781.3	21.389	660	0.03240757575757576
AC110792.1	6.898	165	0.041806060606060604
AC111200.1	0.234	84	0.002785714285714286
AC112205.1	0.134	46	0.00291304347826087
AC112693.2	9.482	543	0.017462246777163903
AC112715.2	6.283	207	0.03035265700483092
AC112721.1	11.234	335	0.03353432835820896
AC114494.1	45.132	423	0.1066950354609929
AC114546.1	21.752	201	0.10821890547263681
AC114783.1	165.466	788	0.20998223350253808
AC116407.2	60.536	479	0.12637995824634657
AC117395.1	44.581	471	0.09465180467091296
AC117834.1	44.665	250	0.17865999999999999
AC119673.1	66.873	267	0.2504606741573034
AC120194.1	73.374	145	0.5060275862068965
AC121757.1	2.88	63	0.045714285714285714
AC124890.1	8.573	257	0.0333579766536965
AC126614.1	26.052	337	0.07730563798219585
AC127496.1	77.271	469	0.16475692963752667
AC129492.6	50.443	503	0.10028429423459244
AC131097.4	38.589	311	0.12408038585209002
AC131935.1	5.736	199	0.028824120603015074
AC131971.1	0.08600000000000001	192	0.0004479166666666667
AC132186.1	6.746	612	0.011022875816993466
AC132192.1	6.531	261	0.025022988505747124
AC132216.1	102.687	366	0.2805655737704918
AC132872.2	6.431	384	0.016747395833333335
AC135048.1	158.063	740	0.21359864864864864
AC135178.1	10.731	418	0.025672248803827753
AC135983.2	27.716	558	0.04967025089605735
AC136297.1	0.194	220	0.0008818181818181819
AC136604.1	85.47	560	0.152625
AC137056.1	6.068	408	0.014872549019607842
AC137932.1	98.742	400	0.24685500000000002
AC138393.1	8.281	137	0.06044525547445256
AC138517.1	114.867	397	0.2893375314861461
AC138647.1	191.904	566	0.3390530035335689
AC138655.1	15.986	456	0.03505701754385965
AC138969.4	278.672	936	0.29772649572649573
AC139100.2	7.034	653	0.010771822358346094
AC139426.2	85.218	528	0.16139772727272728
AC139768.1	5.723	60	0.09538333333333333
AC140061.12	37.511	369	0.10165582655826559
AC140481.2	52.183	756	0.06902513227513228
AC142381.1	103.798	298	0.34831543624161077
AC144568.2	1.024	186	0.005505376344086022
AC145676.2	0.867	472	0.001836864406779661
AC174470.1	2.9450000000000003	531	0.005546139359698683
AC187652.1	39.291	504	0.07795833333333332
AC226150.4	93.391	327	0.2855993883792049
ACAA1	440.249	1400	0.31446357142857145
ACAA2	490.593	1247	0.3934186046511628
ACACA	2207.991	7926	0.27857570022710065
ACACB	2350.547	7770	0.30251570141570144
ACAD10	1276.117	3323	0.38402557929581704
ACAD11	857.489	2554	0.3357435395458105
ACAD8	416.114	1581	0.26319671094244146
ACAD9	682.885	1973	0.34611505321844904
ACADL	393.331	1342	0.2930931445603577
ACADM	476.275	1486	0.3205080753701211
ACADS	389.659	1430	0.2724888111888112
ACADSB	503.825	1398	0.36038984263233187
ACADVL	744.688	2359	0.31567952522255194
ACAN	2091.282	7835	0.26691537970644547
ACAP1	837.612	2373	0.35297597977243994
ACAP2	687.538	2889	0.2379847698165455
ACAP3	847.883	2681	0.3162562476687803
ACAT1	475.695	1402	0.33929743223965764
ACAT2	450.633	1384	0.3256018786127167
ACBD3	486.984	1646	0.2958590522478736
ACBD4	301.347	1093	0.2757063129002745
ACBD5	563.222	1700	0.3313070588235294
ACBD6	214.474	896	0.23936830357142855
ACBD7	108.586	280	0.38780714285714285
ACCS	494.976	1579	0.3134743508549715
ACCSL	463.955	1812	0.25604580573951435
ACD	436.709	1667	0.2619730053989202
ACE	1437.625	4935	0.29131205673758864
ACER1	289.331	816	0.35457230392156863
ACER2	240.832	928	0.2595172413793103
ACER3	227.877	991	0.2299465186680121
ACHE	710.231	1857	0.38246149703823373
ACIN1	1589.079	4402	0.36099023171285777
ACKR2	271.036	1157	0.23425756266205705
ACKR3	191.138	642	0.2977227414330218
ACKR4	440.725	1050	0.41973809523809524
ACLY	988.415	3474	0.28451784686240644
ACMSD	317.046	1057	0.2999489120151372
ACN9	142.498	411	0.3467104622871046
ACO1	967.162	2770	0.34915595667870036
ACO2	638.165	2469	0.25847104090724987
ACOT1	395.037	1274	0.3100761381475667
ACOT11	645.62	2062	0.31310378273520856
ACOT12	637.536	1714	0.3719579929988331
ACOT13	178.178	442	0.4031176470588235
ACOT2	365.488	1457	0.2508496911461908
ACOT4	341.468	1275	0.2678180392156863
ACOT6	176.342	511	0.3450919765166341
ACOT7	342.342	1432	0.23906564245810055
ACOT8	319.424	1139	0.28044249341527655
ACOX1	732.931	2382	0.30769563392107474
ACOX2	742.142	2214	0.3352041553748871
ACOX3	782.245	2155	0.3629907192575406
ACOXL	742.733	1974	0.37625785207700096
ACP1	178.305	683	0.2610614934114202
ACP2	465.003	1540	0.30195
ACP5	316.016	992	0.3185645161290323
ACP6	457.005	1349	0.3387731653076353
ACPL2	496.617	1484	0.3346475741239892
ACPP	495.361	1418	0.34933779971791257
ACPT	488.087	1328	0.3675353915662651
ACR	277.423	1348	0.205803412462908
ACRBP	671.569	1673	0.40141601912731617
ACRV1	211.731	805	0.2630198757763975
ACSBG1	837.433	2431	0.3444808720691074
ACSBG2	658.372	2068	0.3183617021276596
ACSF2	705.062	2117	0.3330477090222012
ACSF3	592.83	1984	0.2988054435483871
ACSL1	803.566	2374	0.338486099410278
ACSL3	844.749	2332	0.3622422813036021
ACSL5	774.881	2388	0.3244895309882747
ACSL6	694.9879999999999	2523	0.2754609591755846
ACSM1	625.351	1876	0.333342750533049
ACSM2A	485.844	1618	0.300274412855377
ACSM2B	615.02	1906	0.3226757607555089
ACSM3	614.783	1763	0.34871412365286447
ACSM4	655.576	1779	0.3685081506464306
ACSM5	590.884	1776	0.33270495495495495
ACSS1	705.351	2321	0.3038996122361051
ACSS2	779.195	2392	0.32575041806020066
ACSS3	706.085	2118	0.3333734655335222
ACTA1	218.593	1163	0.1879561478933792
ACTA2	332.697	1173	0.2836291560102302
ACTB	225.833	1202	0.1878810316139767
ACTBL2	310.806	1131	0.27480636604774533
ACTC1	202.723	1161	0.17461068044788977
ACTG1	277.873	1192	0.23311493288590604
ACTG2	272.201	1336	0.2037432634730539
ACTL10	246.307	735	0.33511156462585034
ACTL6A	375.851	1402	0.2680820256776034
ACTL6B	409.309	1363	0.30030007336757153
ACTL7A	455.206	1309	0.3477509549274255
ACTL7B	430.217	1246	0.3452784911717496
ACTL8	399.597	1102	0.36261070780399274
ACTL9	400.543	1252	0.3199225239616613
ACTN1	561.36	3031	0.1852062025734081
ACTN2	826.932	2899	0.28524732666436703
ACTN3	805.071	3148	0.2557404701397713
ACTN4	793.331	3069	0.25849820788530464
ACTR10	359.57	1452	0.24763774104683195
ACTR1A	254.704	1197	0.21278529657477027
ACTR1B	311.002	1186	0.26222765598650927
ACTR2	250.657	1342	0.18677868852459018
ACTR3	269.349	1349	0.19966567828020756
ACTR3B	413.123	1343	0.3076120625465376
ACTR3C	192.046	821	0.2339171741778319
ACTR5	633.535	1872	0.3384268162393162
ACTR6	319.751	1381	0.23153584359160026
ACTR8	642.5889999999999	1939	0.33140226921093346
ACTRT2	391.331	1134	0.34508906525573196
ACTRT3	415.664	1123	0.37013713268032056
ACVR1	501.689	1577	0.3181287254280279
ACVR1B	587.137	1687	0.348036158861885
ACVR1C	539.638	1524	0.3540931758530184
ACVR2A	379.811	1636	0.2321583129584352
ACVR2B	388.96	1609	0.24174021131137352
ACVRL1	527.54	1536	0.34345052083333333
ACY1	505.67	1340	0.3773656716417911
ACY3	283.229	967	0.292894519131334
ACYP1	142.18	520	0.27342307692307694
ACYP2	167.952	926	0.18137365010799136
AD000671.6	91.352	261	0.35000766283524903
ADA	361.289	1143	0.3160883639545057
ADAD1	600.458	1732	0.34668475750577366
ADAD2	596.848	2043	0.2921429270680372
ADAL	336.018	1113	0.3019029649595687
ADAM10	646.371	2572	0.2513106531881804
ADAM11	821.009	2438	0.33675512715340444
ADAM12	900.651	2950	0.30530542372881353
ADAM15	896.282	2772	0.32333405483405486
ADAM17	921.718	2595	0.3551899807321772
ADAM18	777.017	2264	0.34320538869257955
ADAM19	1015.79	3271	0.31054417609293794
ADAM2	693.181	2238	0.3097323503127793
ADAM20	422.057	2329	0.18121811936453414
ADAM21	400.907	2166	0.18509095106186518
ADAM22	806.955	3614	0.22328583287216383
ADAM23	771.701	2848	0.2709624297752809
ADAM28	842.074	2416	0.3485405629139073
ADAM29	0.201	64	0.003140625
ADAM30	363.88	2375	0.15321263157894738
ADAM32	708.46	2613	0.2711289705319556
ADAM33	669.123	2473	0.2705713708046907
ADAM7	832.637	2498	0.3333214571657326
ADAM8	455.068	2703	0.16835664076951534
ADAM9	891.888	2679	0.3329182530795073
ADAMDEC1	469.648	1482	0.31690148448043187
ADAMTS1	938.765	3050	0.30779180327868855
ADAMTS10	1009.174	3587	0.28134206858098687
ADAMTS12	1662.919	4976	0.33418790192926046
ADAMTS13	1334.732	4615	0.2892160346695558
ADAMTS14	1077.859	3794	0.28409567738534525
ADAMTS15	1005.208	2900	0.34662344827586206
ADAMTS16	1271.346	3806	0.33403730951129795
ADAMTS17	1075.201	3608	0.298004711751663
ADAMTS18	1270.361	3867	0.32851331781742954
ADAMTS19	1159.181	3803	0.30480699447804366
ADAMTS2	1318.662	3845	0.3429550065019506
ADAMTS20	2123.783	6203	0.34237997743027565
ADAMTS3	1180.13	3776	0.3125344279661017
ADAMTS4	944.959	2620	0.3606713740458015
ADAMTS5	875.326	2838	0.30843058491895703
ADAMTS6	558.6129999999999	4145	0.13476791314837153
ADAMTS7	1428.308	5153	0.27717989520667574
ADAMTS8	810.78	2708	0.2994017725258493
ADAMTS9	1982.354	6032	0.32863958885941646
ADAMTSL1	1853.573	5654	0.3278339228864521
ADAMTSL2	918.349	3297	0.2785407946618138
ADAMTSL3	1965.609	5207	0.37749356635298636
ADAMTSL4	1097.056	3435	0.3193758369723435
ADAMTSL4-AS1	23.214	392	0.059219387755102035
ADAMTSL5	510.887	1525	0.33500786885245903
ADAP1	429.21999999999997	1742	0.24639494833524683
ADAP2	375.616	1094	0.3433418647166362
ADAR	1119.524	3888	0.2879434156378601
ADARB1	756.027	2388	0.31659422110552765
ADARB2	789.872	2272	0.34765492957746474
ADAT1	449.736	1601	0.28090943160524673
ADAT2	186.535	554	0.3367057761732852
ADAT3	337.183	1101	0.3062515894641235
ADC	506.117	1558	0.3248504492939666
ADCK1	539.353	1812	0.2976561810154525
ADCK2	539.525	2110	0.2556990521327014
ADCK3	677.694	2014	0.3364915590863952
ADCK4	629.85	1718	0.3666181606519209
ADCK5	519.297	1859	0.2793421194190425
ADCY1	1112.31	3558	0.3126222596964587
ADCY10	1979.044	5022	0.39407487056949425
ADCY2	1078.769	3608	0.2989936252771619
ADCY3	1005.312	3700	0.27170594594594594
ADCY4	1189.051	3194	0.3722764558547276
ADCY5	1092.832	4171	0.26200719251977944
ADCY6	1138.398	3604	0.3158706992230854
ADCY7	1081.334	3383	0.3196375997635235
ADCY8	973.394	3936	0.2473053861788618
ADCY9	1236.455	4152	0.2977974470134875
ADCYAP1	168.028	554	0.3032996389891697
ADCYAP1R1	485.856	1720	0.28247441860465117
ADD1	696.253	2616	0.26615175840978594
ADD2	786.041	2424	0.3242743399339934
ADD3	726.891	2216	0.32801940433212995
ADGB	1909.06	5374	0.3552400446594715
ADH1A	391.471	1147	0.34129991281604183
ADH1B	426.537	1177	0.362393372982158
ADH1C	399.377	1152	0.3466814236111111
