gene_name	ihs
AC004878.3	2.578
AC004878.5	
AC004893.10	
AC004893.11	
AC004895.4	1.343
AC004899.1	1.809
AC004899.3	1.809
AC004901.1	4.831
AC004906.3	1.166
AC004911.2	2.721
AC004917.1	
AC004920.2	2.787
AC004920.3	2.637
AC004938.5	1.446
AC004941.3	4.86
AC004941.5	2.272
AC004943.1	1.509
AC004945.1	1.145
AC004947.2	2.171
AC004980.7	2.056
AC004987.10	
AC004987.9	0.565
AC004988.1	2.011
AC005000.1	1.667
AC005003.1	4.046
AC005007.3	0.157
AC005008.2	6.081
AC005008.3	
AC005009.1	1.641
AC005009.2	2.113
AC005013.1	2.948
AC005013.5	2.353
AC005014.5	1.963
AC005017.2	1.712
AC005019.2	1.44
AC005019.3	2.384
AC005022.1	3.025
AC005027.3	3.471
AC005029.1	4.838
AC005033.6	0.704
AC005034.2	1.378
AC005034.3	0.424
AC005037.1	0.741
AC005037.2	3.835
AC005037.3	3.083
AC005037.4	1.094
AC005037.6	
AC005040.3	2.467
AC005041.11	1.601
AC005041.17	
AC005042.2	0.237
AC005042.3	1.153
AC005042.4	1.997
AC005042.5	1.997
AC005048.1	0.877
AC005062.2	4.678
AC005076.5	1.334
AC005077.12	1.843
AC005077.14	1.485
AC005077.5	1.943
AC005077.7	2.364
AC005077.8	1.648
AC005082.1	1.611
AC005082.12	1.671
AC005083.1	2.859
AC005086.1	
AC005086.3	1.58
AC005086.4	
AC005094.2	1.953
AC005102.1	0.6
AC005104.3	1.468
AC005105.2	
AC005150.1	2.348
AC005152.2	4.755
AC005152.3	2.897
AC005154.6	2.56
AC005154.7	2.56
AC005154.8	-0.544
AC005160.3	0.775
AC005162.4	0.479
AC005162.5	0.147
AC005178.1	3.576
AC005189.6	
AC005195.1	3.24
AC005197.2	0.552
AC005220.3	-0.151
AC005224.2	1.268
AC005229.1	
AC005229.5	2.125
AC005229.7	2.233
AC005235.1	1.292
AC005237.2	2.6
AC005237.4	3.593
AC005253.2	1.151
AC005253.4	0.381
AC005255.3	1.948
AC005256.1	2.175
AC005262.2	2.168
AC005262.4	1.752
AC005264.2	1.806
AC005276.1	7.704
AC005280.1	0.671
AC005281.1	1.89
AC005281.2	1.221
AC005284.1	2.881
AC005288.1	
AC005300.5	0.379
AC005301.8	2.593
AC005304.1	2.265
AC005306.3	1.498
AC005307.1	1.269
AC005307.3	2.347
AC005329.7	1.533
AC005330.2	0.373
AC005339.2	
AC005351.1	2.85
AC005355.1	1.912
AC005355.2	1.907
AC005356.1	2.516
AC005357.1	
AC005358.1	2.55
AC005358.3	2.122
AC005387.2	1.208
AC005387.3	0.802
AC005391.2	-0.095
AC005394.1	1.654
AC005399.1	-1.29
AC005477.1	0.686
AC005481.5	1.142
AC005484.5	3.827
AC005487.2	2.194
AC005488.11	
AC005493.1	2.222
AC005498.3	0.236
AC005498.4	0.735
AC005513.1	
AC005517.3	1.54
AC005518.2	1.257
AC005519.4	0.652
AC005522.6	1.445
AC005523.2	2.987
AC005523.3	1.31
AC005532.5	1.67
AC005534.6	0.282
AC005534.8	1.094
AC005537.2	2.15
AC005538.5	1.165
AC005539.2	-1.236
AC005540.3	3.499
AC005544.1	0.208
AC005546.2	0.094
AC005549.1	-0.685
AC005549.3	4.528
AC005550.3	1.322
AC005550.4	1.056
AC005550.5	1.056
AC005562.1	1.692
AC005588.2	
AC005592.1	5.939
AC005592.2	4.492
AC005592.3	3.21
AC005594.3	1.377
AC005597.1	3.994
AC005606.1	0.494
AC005606.14	1.696
AC005609.1	1.039
AC005614.3	0.901
AC005614.5	1.545
AC005616.1	1.654
AC005616.2	0.565
AC005618.1	2.1
AC005618.6	2.196
AC005621.1	1.476
AC005624.2	1.629
AC005625.1	1.244
AC005626.3	0.822
AC005682.5	1.234
AC005682.6	2.393
AC005682.7	0.892
AC005682.8	1.864
AC005686.1	2.17
AC005701.1	
AC005702.1	2.632
AC005702.3	1.361
AC005702.4	
AC005703.2	2.144
AC005703.3	1.176
AC005722.4	0.89
AC005730.2	0.116
AC005740.3	1.96
AC005740.4	2.254
AC005740.5	0.87
AC005740.6	-0.506
AC005741.2	2.501
AC005754.7	0.935
AC005754.8	1.05
AC005757.6	-0.349
AC005757.7	1.012
AC005772.2	4.037
AC005775.2	2.945
AC005776.1	0.525
AC005779.1	0.02
AC005779.2	1.638
AC005780.1	2.605
AC005783.1	2.974
AC005785.2	-3.752
AC005786.3	
AC005786.5	
AC005786.7	2.799
AC005789.11	1.88
AC005789.9	0.845
AC005794.1	1.47
AC005795.1	-0.564
AC005808.3	2.361
AC005822.1	1.452
AC005831.1	-1.06
AC005838.2	
AC005841.1	2.426
AC005863.1	1.794
AC005863.2	2.082
AC005884.1	
AC005926.1	1.488
AC005932.1	0.856
AC005943.4	-1.09
AC005943.5	2.013
AC005944.2	0.004
AC005954.3	
AC005954.4	-0.483
AC006000.5	2.526
AC006003.3	1.655
AC006004.1	
AC006007.1	3.879
AC006011.4	
AC006014.7	4.095
AC006014.8	2.036
AC006019.3	2.858
AC006019.4	2.926
AC006022.4	-0.3
AC006023.8	1.032
AC006024.4	3.241
AC006026.1	1.228
AC006026.10	1.585
AC006026.12	0.621
AC006026.13	-0.369
AC006026.9	1.678
AC006028.11	1.044
AC006033.22	1.799
AC006035.1	0.966
AC006037.2	5.256
AC006041.1	3.201
AC006042.6	1.9
AC006042.7	1.544
AC006042.8	0.527
AC006045.3	2.936
AC006070.12	0.135
AC006076.1	2.442
AC006077.4	2.266
AC006080.1	3.332
AC006111.1	1.843
AC006115.1	0.906
AC006115.3	3.924
AC006116.12	1.487
AC006116.13	0.87
AC006116.14	0.971
AC006116.15	-1.432
AC006116.17	2.386
AC006116.19	-0.781
AC006116.20	2.334
AC006116.21	2.573
AC006116.22	0.145
AC006116.24	1.197
AC006116.27	1.081
AC006126.3	1.638
AC006126.4	1.754
AC006129.1	1.069
AC006129.2	1.032
AC006130.3	2.513
AC006130.4	
AC006132.1	0.996
AC006145.1	2.292
AC006150.1	1.692
AC006150.2	-0.988
AC006153.3	1.817
AC006159.3	2.464
AC006159.4	3.791
AC006159.5	1.888
AC006160.4	1.7
AC006160.5	1.25
AC006195.2	
AC006196.1	4.535
AC006227.1	2.873
AC006262.10	2.655
AC006262.4	1.579
AC006262.5	2.073
AC006262.6	2.148
AC006273.4	1.834
AC006273.5	2.766
AC006273.7	2.676
AC006277.2	1.713
AC006296.1	3.589
AC006296.2	0.95
AC006322.1	2.655
AC006326.3	2.343
AC006326.5	1.292
AC006355.3	1.103
AC006369.2	2.792
AC006369.3	1.897
AC006372.1	1.007
AC006372.4	4.599
AC006372.5	0.992
AC006372.6	1.367
AC006373.1	3.968
AC006377.1	1.063
AC006378.2	1.943
AC006380.1	1.962
AC006380.3	2.227
AC006390.4	2.919
AC006427.2	1.167
AC006435.1	1.377
AC006445.6	1.267
AC006445.7	1.6
AC006445.8	1.402
AC006458.3	3.08
AC006460.2	1.292
AC006465.4	1.955
AC006466.5	3.246
AC006480.1	1.897
AC006481.1	2.865
AC006482.1	2.957
AC006483.5	
AC006486.1	1.654
AC006486.9	1.68
AC006487.1	
AC006509.4	-0.886
AC006509.7	2.023
AC006534.1	2.569
AC006538.1	1.233
AC006538.4	2.153
AC006539.2	
AC006539.4	1.041
AC006547.13	1.563
AC006547.14	1.229
AC006547.15	0.788
AC006547.8	0.64
AC006548.26	1.314
AC006552.1	4.626
AC006557.1	
AC006926.1	2.753
AC006942.4	-0.414
AC006946.15	2.004
AC006947.1	0.342
AC006960.5	1.488
AC006960.7	1.935
AC006967.1	3.258
AC006978.6	0.008
AC006988.1	1.197
AC006994.1	
AC006994.2	1.089
AC007003.1	1.312
AC007009.1	0.525
AC007009.2	-1.611
AC007014.1	0.48
AC007016.3	
AC007036.4	
AC007036.5	
AC007036.6	2.28
AC007038.7	1.181
AC007040.1	
AC007040.11	1.95
AC007040.3	
AC007040.5	1.421
AC007040.6	1.272
AC007040.7	0.87
AC007040.8	2.202
AC007041.1	0.834
AC007041.2	1.435
AC007050.1	1.68
AC007050.17	0.717
AC007050.18	2.614
AC007064.22	1.225
AC007091.1	5.748
AC007092.1	4.059
AC007096.1	
AC007098.1	2.95
AC007099.1	1.085
AC007099.2	0.995
AC007106.1	4.81
AC007115.3	1.758
AC007126.1	2.026
AC007128.1	2.942
AC007131.1	2.47
AC007131.2	3.247
AC007161.5	1.687
AC007163.10	
AC007163.11	1.133
AC007163.3	1.74
AC007163.6	2.122
AC007163.8	1.161
AC007163.9	0.18
AC007179.1	1.163
AC007182.6	2.851
AC007192.6	0.603
AC007193.10	2.56
AC007193.6	2.373
AC007193.8	-0.446
AC007193.9	1.386
AC007204.2	1.578
AC007216.2	0.731
AC007228.11	1.709
AC007228.5	2.912
AC007228.9	1.82
AC007229.3	
AC007237.2	-0.312
AC007238.1	0.513
AC007246.3	2.147
AC007248.6	2.314
AC007248.7	3.284
AC007249.3	1.368
AC007250.4	3.518
AC007251.2	1.582
AC007253.1	0.912
AC007255.8	2.142
AC007256.5	-0.292
AC007271.3	1.602
AC007272.1	1.268
AC007272.3	
AC007276.5	1.907
AC007277.3	2.986
AC007278.2	0.417
AC007278.3	3.8
AC007279.2	0.036
AC007282.6	-0.734
AC007283.4	-0.811
AC007283.5	0.367
AC007285.6	0.737
AC007285.7	
AC007292.7	1.645
AC007308.6	1.3
AC007308.7	1.655
AC007312.3	
AC007316.3	2.602
AC007317.1	3.914
AC007318.5	1.66
AC007319.1	3.272
AC007326.9	0.977
AC007327.5	-0.867
AC007327.6	
AC007347.1	0.381
AC007349.4	1.6
AC007349.5	2.311
AC007349.7	2.673
AC007353.1	
AC007358.1	3.458
AC007362.1	-0.343
AC007362.3	1.477
AC007364.1	2.597
AC007365.1	1.591
AC007365.2	1.347
AC007365.3	0.695
AC007365.4	-0.244
AC007375.1	2.258
AC007377.1	1.881
AC007381.2	2.275
AC007381.3	2.61
AC007382.1	2.394
AC007383.3	1.435
AC007383.4	1.259
AC007386.2	2.121
AC007386.3	1.74
AC007386.4	1.108
AC007387.2	3.512
AC007389.1	-0.311
AC007389.2	0.005
AC007389.3	2.236
AC007390.4	
AC007390.5	0.809
AC007391.2	1.975
AC007392.3	2.96
AC007392.4	2.595
AC007394.3	
AC007395.3	0.654
AC007395.4	-0.495
AC007401.1	0.949
AC007401.2	1.213
AC007402.1	
AC007403.1	2.092
AC007403.2	2.55
AC007403.3	1.864
AC007405.2	2.8
AC007405.4	1.367
AC007405.6	2.087
AC007405.8	2.66
AC007421.1	
AC007422.1	2.447
AC007431.1	1.774
AC007435.1	1.533
AC007450.1	
AC007461.1	0.741
AC007461.2	0.857
AC007463.2	2.485
AC007464.1	4.125
AC007486.1	0.926
AC007528.1	
AC007551.2	0.98
AC007551.3	1.585
AC007556.3	2.496
AC007557.1	0.195
AC007557.2	0.82
AC007557.3	0.811
AC007557.4	-0.408
AC007559.1	
AC007560.2	
AC007563.1	1.451
AC007563.3	5.684
AC007563.4	
AC007563.5	5.684
AC007566.10	
AC007566.11	
AC007568.1	2.655
AC007618.3	2.929
AC007620.3	0.522
AC007631.1	1.971
AC007652.1	3.586
AC007677.2	
AC007679.1	1.079
AC007679.3	1.127
AC007679.4	0.751
AC007680.2	2.148
AC007682.1	4.351
AC007682.2	
AC007690.1	2.597
AC007740.1	1.897
AC007743.1	2.749
AC007750.5	1.955
AC007773.1	
AC007773.2	1.057
AC007773.3	1.057
AC007787.2	0.129
AC007790.4	-0.141
AC007795.1	2.276
AC007796.1	2.153
AC007879.1	4.353
AC007879.2	4.353
AC007879.3	1.52
AC007879.4	-0.406
AC007879.5	4.552
AC007879.6	0.844
AC007879.7	1.63
AC007880.1	2.915
AC007881.1	
AC007881.4	2.114
AC007899.3	0.818
AC007919.1	
AC007919.18	-0.828
AC007919.19	0.461
AC007919.2	
AC007948.1	3.784
AC007950.1	1.857
AC007952.5	-1.798
AC007956.1	1.301
AC007966.1	1.093
AC007969.4	1.363
AC007969.5	1.37
AC007970.1	1.76
AC008060.5	1.891
AC008060.7	2.939
AC008060.8	2.876
AC008063.2	1.03
AC008063.3	1.171
AC008065.1	
AC008067.2	2.344
AC008069.1	2.838
AC008069.2	2.583
AC008072.1	2.204
AC008073.7	1.332
AC008073.9	0.553
AC008074.3	2.275
AC008074.4	2.584
AC008074.5	-0.456
AC008079.9	
AC008085.1	2.487
AC008132.1	
AC008132.13	2.77
AC008147.1	0.596
AC008147.2	0.561
AC008154.4	2.247
AC008154.5	1.482
AC008155.1	1.49
AC008155.2	2.788
AC008163.4	2.514
AC008163.6	3.734
AC008166.1	1.882
AC008171.1	0.268
AC008173.1	4.052
AC008174.3	0.72
AC008264.4	
AC008265.2	1.795
AC008268.1	2.234
AC008268.2	1.941
AC008269.2	3.171
AC008271.1	2.886
AC008277.1	0.925
AC008278.2	2.487
AC008278.3	1.827
AC008280.1	
AC008280.3	
AC008281.1	3.041
AC008372.1	0.488
AC008387.1	1.351
AC008391.1	1.605
AC008394.1	3.172
AC008397.1	1.804
AC008410.1	2.274
AC008427.2	1.616
AC008440.10	0.8
AC008440.5	1.061
AC008498.1	0.038
AC008555.2	1.579
AC008565.1	2.928
AC008581.1	
AC008592.3	1.347
AC008592.4	2.344
AC008592.5	1.993
AC008592.7	0.901
AC008592.8	1.836
AC008625.1	
AC008671.1	
AC008674.1	
AC008686.1	1.66
AC008691.1	5.851
AC008694.2	1.41
AC008694.3	3.128
AC008697.1	2.361
AC008703.1	2.513
AC008703.2	2.324
AC008706.1	2.298
AC008731.1	1.115
AC008738.1	1.192
AC008738.2	1.766
AC008746.12	0.918
AC008746.3	0.908
AC008746.5	
AC008746.9	1.775
AC008752.1	1.467
AC008752.2	
AC008752.3	0.372
AC008753.3	1.946
AC008753.4	0.75
AC008753.6	1.642
AC008780.1	1.844
AC008781.7	0.632
AC008834.1	2.342
AC008834.2	2.661
AC008836.1	1.112
AC008850.3	
AC008865.1	0.199
AC008869.1	2.144
AC008914.1	0.514
AC008937.2	1.302
AC008937.3	1.615
AC008938.1	1.609
AC008940.1	3.718
AC008948.1	0.708
AC008964.1	1.361
AC008982.2	1.387
AC008984.2	1.829
AC008984.5	-0.526
AC008984.6	
AC008984.7	3.722
AC008991.1	1.102
AC008992.1	2.018
AC009005.2	2.397
AC009009.1	1.95
AC009014.3	1.562
AC009035.1	3.161
AC009041.1	1.712
AC009052.12	0.718
AC009061.1	-0.935
AC009065.1	0.627
AC009080.1	4.29
AC009081.1	
AC009095.4	1.695
AC009107.1	0.499
AC009110.1	4.713
AC009120.10	1.599
AC009120.4	2.729
AC009120.6	0.949
AC009120.8	-1.506
AC009133.12	0.857
AC009133.14	1.137
AC009133.15	
AC009133.17	1.423
AC009133.20	1.137
AC009133.21	1.234
AC009134.1	1.195
AC009158.1	4.053
AC009159.1	2.159
AC009161.1	3.326
AC009166.5	-1.553
AC009227.2	2.071
AC009227.3	3.573
AC009228.1	1.893
AC009229.4	0.308
AC009229.5	2.448
AC009229.6	2.794
AC009232.2	1.347
AC009234.1	0.549
AC009234.2	
AC009236.1	2.776
AC009236.2	-0.852
AC009237.16	0.496
AC009238.6	
AC009238.8	0.697
AC009262.2	2.415
AC009263.2	-0.676
AC009274.6	
AC009276.4	2.621
AC009297.1	
AC009299.1	0.588
AC009299.2	4.322
AC009299.3	1.351
AC009299.4	2.994
AC009302.2	3.265
AC009302.4	1.818
AC009303.1	1.561
AC009303.3	0.827
AC009305.1	1.615
AC009305.2	0.661
AC009310.1	1.827
AC009312.1	7.114
AC009313.1	1.441
AC009313.2	2.263
AC009336.24	1.165
AC009362.2	0.891
AC009365.3	1.605
AC009365.4	2.241
AC009403.2	1.851
AC009404.2	2.075
AC009410.1	3.123
AC009411.1	1.528
AC009411.2	0.602
AC009413.2	2.944
AC009414.1	3.738
AC009469.1	0.343
AC009473.1	-0.946
AC009474.1	1.41
AC009474.2	1.801
AC009478.1	2.734
AC009478.2	-0.363
AC009480.3	0.199
AC009480.4	1.925
AC009487.4	
AC009487.5	1.428
AC009492.1	2.617
AC009495.2	0.567
AC009495.3	0.909
AC009495.4	0.909
AC009498.1	2.185
AC009499.1	3.595
AC009499.2	2.291
AC009500.2	3.745
AC009501.4	1.187
AC009502.1	1.059
AC009502.4	3.675
AC009505.2	1.377
AC009505.4	2.072
AC009506.1	0.806
AC009506.2	0.94
AC009508.1	2.376
AC009517.2	-0.474
AC009518.2	3.835
AC009518.3	3.846
AC009518.4	3.865
AC009518.8	2.303
AC009531.2	5.212
AC009541.1	2.891
AC009542.2	1.07
AC009677.1	1.783
AC009695.1	2.838
AC009779.1	
AC009784.3	7.289
AC009784.4	-0.165
AC009800.1	2.16
AC009802.1	1.175
AC009835.1	1.193
AC009878.2	3.351
AC009892.10	2.097
AC009892.2	1.236
AC009892.5	1.138
AC009892.9	0.187
AC009941.1	3.341
AC009945.4	1.756
AC009948.5	1.189
AC009948.7	-2.031
AC009950.2	2.259
AC009951.1	0.774
AC009951.2	1.923
AC009955.8	1.104
AC009960.1	1.199
AC009960.2	0.453
AC009960.3	1.391
AC009960.4	
AC009961.2	-0.614
AC009961.3	1.65
AC009961.5	1.13
AC009963.6	2.53
AC009965.1	2.362
AC009965.2	2.488
AC009967.3	1.422
AC009969.1	2.495
AC009970.1	0.571
AC009974.11	1.932
AC009997.1	2.63
AC010082.2	0.37
AC010090.1	1.414
AC010091.1	2.776
AC010091.4	0.741
AC010092.1	1.616
AC010095.6	1.849
AC010095.7	3.36
AC010096.1	2.243
AC010096.2	3.287
AC010105.1	2.416
AC010127.3	5.517
AC010127.5	1.057
AC010132.10	2.351
AC010132.11	0.275
AC010136.2	1.578
AC010145.4	2.897
AC010146.1	2.423
AC010146.2	5.171
AC010148.1	3.979
AC010149.4	2.193
AC010150.1	0.728
AC010150.2	1.769
AC010170.1	0.42
AC010203.1	
AC010207.1	1.378
AC010209.1	1.31
AC010226.4	1.437
AC010235.1	0.923
AC010240.2	-0.055
AC010240.3	1.969
AC010296.1	0.071
AC010311.1	0.923
AC010327.2	1.056
AC010335.1	-0.386
AC010336.1	1.089
AC010368.1	-1.298
AC010368.2	
AC010376.1	2.281
AC010423.1	2.205
AC010441.1	2.173
AC010455.1	4.473
AC010458.1	0.101
AC010468.1	1.696
AC010468.2	1.128
AC010468.3	1.295
AC010492.2	1.295
AC010492.4	0.752
AC010492.5	1.122
AC010504.2	0.71
AC010518.3	1.661
AC010524.2	1.628
AC010524.4	-1.23
AC010525.1	1.803
AC010525.2	1.253
AC010525.4	1.061
AC010525.6	1.803
AC010525.7	1.803
AC010528.1	0.079
AC010536.1	0.825
AC010543.1	3.442
AC010546.1	1.738
AC010547.9	2.515
AC010595.1	1.423
AC010641.1	3.853
AC010642.1	1.645
AC010642.2	1.16
AC010646.3	3.041
AC010649.1	2.248
AC010677.5	2.835
AC010729.1	0.958
AC010729.2	2.245
AC010729.3	4.123
AC010731.2	-0.703
AC010731.3	1.165
AC010731.4	2.205
AC010731.6	0.023
AC010733.4	1.378
AC010733.5	0.771
AC010733.7	1.07
AC010739.1	4.476
AC010740.1	0.415
AC010744.1	5.74
AC010745.1	2.177
AC010745.2	2.152
AC010745.3	1.708
AC010745.4	2.48
AC010746.3	1.839
AC010747.2	0.017
AC010761.10	
AC010761.13	-2.156
AC010761.14	0.577
AC010761.6	1.699
AC010761.8	
AC010761.9	1.591
AC010878.3	2.773
AC010880.1	5.157
AC010883.5	1.702
AC010884.1	1.896
AC010886.2	0.647
AC010887.1	3.224
AC010890.1	2.375
